item_id,translator,seg_id,src_en,hyp_bn,seg_mismatch,cometkiwi,metricx,labse,metricx_err
US-00001,gpt-oss:120b,0,"A 4670-g (10-lb 5-oz) male newborn is delivered at term to a 26-year-old woman after prolonged labor. Apgar scores are 9 and 9 at 1 and 5 minutes. Examination in the delivery room shows swelling, tenderness, and crepitus over the left clavicle. There is decreased movement of the left upper extremity. Movement of the hands and wrists are normal. A grasping reflex is normal in both hands. An asymmetric Moro reflex is present. The remainder of the examination shows no abnormalities and an anteroposterior x-ray confirms the diagnosis. Which of the following is the most appropriate next step in management?","৪৬৭০-গ্রাম (১০-পাউন্ড ৫-আউন্স) পুরুষ নবজাতক টার্মে একটি ২৬-বছর বয়সী নারীর কাছে দীর্ঘস্থায়ী শ্রমের পরে ডেলিভারি হয়েছে। অ্যাপগার স্কোর ১ ও ৫ মিনিটে উভয়ই ৯ এবং ৯। ডেলিভারি রুমের পরীক্ষায় বাম ক্ল্যাভিকল উপরে ফোলাভাব, সংবেদনশীলতা, ও ক্রিপিটাস দেখা যায়। বাম ঊর্ধ্ব অঙ্গের গতি কমে গেছে। হাত এবং কব্জির গতি স্বাভাবিক। উভয় হাতে গ্রাস রিফ্লেক্স স্বাভাবিক। একটি অসমমিত মোরো রিফ্লেক্স উপস্থিত। পরীক্ষার বাকি অংশে কোনো অস্বাভাবিকতা দেখা যায় না এবং এক অ্যান্টেরোপোস্টেরিয়র এক্স-রে নির্ণয় নিশ্চিত করে। নিম্নলিখিতগুলির মধ্যে কোনটি ব্যবস্থাপনার সর্বাধিক উপযুক্ত পরবর্তী ধাপ?",0,0.7863319516181946,-6.996510982513428,0.8733200430870056,6.996510982513428
US-00001,gpt-oss:120b,1,Nerve conduction study,স্নায়ু পরিবাহিতা পরীক্ষা,0,0.8525505065917969,-0.30429786443710327,0.6948964595794678,0.30429786443710327
US-00001,gpt-oss:120b,2,Surgical fixation,শল্যচিকিৎসা ফিক্সেশন,0,0.5673820972442627,-2.4087929725646973,0.6038360595703125,2.4087929725646973
US-00001,gpt-oss:120b,3,Physical therapy,শারীরিক থেরাপি,0,0.8731772303581238,-0.12899455428123474,0.9068516492843628,0.12899455428123474
US-00001,gpt-oss:120b,4,Pin sleeve to the shirt,শার্টে পিন স্লিভ,0,0.7395734786987305,-4.163937568664551,0.7124593257904053,4.163937568664551
US-00001,gpt-oss:120b,5,Splinting of the arm,বাহুর স্প্লিন্টিং,0,0.6319628953933716,-3.3592634201049805,0.7625855207443237,3.3592634201049805
US-00001,gpt-oss:120b,6,MRI of the clavicle,ক্ল্যাভিকল এর এমআরআই,0,0.8562278747558594,-2.1152830123901367,0.6592283248901367,2.1152830123901367
US-00002,gpt-oss:120b,0,"A 66-year-old man comes to the physician for a 3-month history of fatigue. He has hypertension and hyperlipidemia. He had a transient ischemic attack 3 years ago. He drinks 3 beers a day, and sometimes a couple more on social occasions. He currently takes aspirin, simvastatin, hydrochlorothiazide, and metoprolol. His temperature is 37.1°C (98.8°F), pulse is 78, respirations are 19/min, and oxygen saturation on room air is 97%. He is in no distress but shows marked pallor and has multiple pinpoint, red, nonblanching spots on his extremities. On palpation, his spleen is significantly enlarged. Laboratory studies show a hemoglobin of 8.0 g/dL, a leukocyte count of 80,000/mm3, and a platelet count of 34,000/mm3. A blood smear shows immature cells with large, prominent nucleoli and pink, elongated, needle-shaped cytoplasmic inclusions. Which of the following is the most likely diagnosis?","একজন ৬৬ বছর বয়সী পুরুষ চিকিৎসকের কাছে ৩ মাসের ক্লান্তির ইতিহাস নিয়ে আসেন। তার উচ্চ রক্তচাপ এবং হাইপারলিপিডেমিয়া আছে। তিনি ৩ বছর আগে একটি ট্রান্সিয়েন্ট ইস্কেমিক অ্যাটাক পেয়েছিলেন। তিনি দিনে ৩টি বিয়ার পান করেন, এবং কখনও কখনও সামাজিক অনুষ্ঠানে আরও ২টি পান করেন। তিনি বর্তমানে অ্যাসপিরিন, সিমভাস্টাটিন, হাইড্রোক্লোরোথায়াজাইড এবং মেটোপ্রোলল গ্রহণ করছেন। তার তাপমাত্রা ৩৭.১ ডিগ্রি সেলসিয়াস (৯৮.৮ ডিগ্রি ফারেনহাইট), পাল্স ৭৮, শ্বাসপ্রশ্বাস প্রতি মিনিটে ১৯, এবং কক্ষের বাতাসে অক্সিজেন স্যাচুরেশন ৯৭%। তিনি কোনো অস্বস্তিতে নেই তবে স্পষ্টভাবে ফ্যাকাশে দেখায় এবং তার অঙ্গপ্রান্তে একাধিক সুঁচের মত ছোট, লাল, নন-ব্ল্যাঞ্চিং দাগ রয়েছে। স্পর্শে তার প্লীহা উল্লেখযোগ্যভাবে বৃহদায়তন। ল্যাবরেটরি ফলাফল দেখায় হিমোগ্লোবিন ৮.০ গ্রাম প্রতি ডেসিলিটার, লিউকোসাইট গণনা ৮০,০০০/ঘন মি.লি., এবং প্লেটলেট গণনা ৩৪,০০০/ঘন মি.লি। একটি রক্তের স্মিয়ার দেখায় বড়, স্পষ্ট নিউক্লিওলিয়া সহ অপরিপক্ক কোষ এবং গোলাপি, লম্বাটে, সূচ-আকৃতির সাইটোপ্লাজমিক ইনক্লুশন। নিম্নের মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?",0,0.7348538637161255,-5.244596004486084,0.8519835472106934,5.244596004486084
US-00002,gpt-oss:120b,1,Cirrhosis,সিরোসিস,0,0.8800708651542664,-0.32414668798446655,0.7254410982131958,0.32414668798446655
US-00002,gpt-oss:120b,2,Acute lymphoblastic leukemia,তীব্র লিম্ফোব্লাস্টিক লিউকেমিয়া,0,0.8710644841194153,-0.2270427644252777,0.8709402084350586,0.2270427644252777
US-00002,gpt-oss:120b,3,Chronic myelogenous leukemia,ক্রনিক মাইলোজেনাস লিউকেমিয়া,0,0.8473035097122192,-0.2021728903055191,0.764961838722229,0.2021728903055191
US-00002,gpt-oss:120b,4,Myelodysplastic syndrome,মায়েলোডিসপ্লাস্টিক সিন্ড্রোম,0,0.8722569942474365,-0.23817217350006104,0.8304294943809509,0.23817217350006104
US-00002,gpt-oss:120b,5,Chronic lymphocytic leukemia,ক্রনিক লিম্ফোসিটিক লিউকেমিয়া,0,0.8691047430038452,-0.24969445168972015,0.8601037263870239,0.24969445168972015
US-00002,gpt-oss:120b,6,Acute myelogenous leukemia,তীব্র মাইলোজেনাস লিউকেমিয়া,0,0.8333841562271118,-0.23688258230686188,0.7917760014533997,0.23688258230686188
US-00003,gpt-oss:120b,0,"A 40-year-old man comes to the physician because of a 5-month history of watery diarrhea and episodic crampy abdominal pain. He has no fever, nausea, or vomiting. Over the past 6 months, he has had a 1.8-kg (4-lb) weight loss, despite experiencing no decrease in appetite. His wife has noticed that sometimes his face and neck become red after meals or when he is in distress. A year ago, he was diagnosed with asthma. He has hypertension. Current medications include an albuterol inhaler and enalapril. He drinks one beer daily. His temperature is 36.7°C (98°F), pulse is 85/min, and blood pressure is 130/85 mm Hg. The lungs are clear to auscultation. A grade 2/6 systolic murmur is heard best at the left sternal border and fourth intercostal space. The abdomen is soft, and there is mild tenderness to palpation with no guarding or rebound. The remainder of the physical examination shows no abnormalities. A complete blood count is within the reference range. Without treatment, this patient is at greatest risk for which of the following conditions?","৪০ বছর বয়সী একজন পুরুষ রোগীর কাছে আসেন কারণ তিনি গত ৫-মাস ধরে জলীয় ডায়রিয়া এবং পর্যায়ক্রমিক পেটের ক্র্যাম্পি ব্যথা অনুভব করছেন। তার জ্বর, বমিভাব বা বমি নেই। গত ৬ মাসে, তিনি কোনো ক্ষুধার হ্রাস না থাকলেও ১.৮-কেজি (৪-পাউন্ড) ওজন কমেছেন। তাঁর স্ত্রী লক্ষ্য করেছেন যে কখনও কখনও খাবারের পরে অথবা চাপের সময় তার মুখ এবং গলা লাল হয়ে যায়। এক বছর আগে তাকে হাঁপানি নির্ণয় করা হয়েছিল। তিনি উচ্চ রক্তচাপে আক্রান্ত। বর্তমান ওষুধগুলোর মধ্যে রয়েছে আলবুটেরল ইনহেলার এবং এনালাপ্রিল। তিনি প্রতিদিন একটি বিয়ার পান করেন। তার তাপমাত্রা ৩৬.৭ ডিগ্রি সেলসিয়া (৯৮ ডিগ্রি ফারেনহাইট), পাল্স ৮৫/মিনিট, এবং রক্তচাপ ১৩০/৮৫ মিমি পারদ। শ্বাসযন্ত্র পরিষ্কার শোনায়। বাম স্টার্নাল বর্ডার ও চতুর্থ ইন্টারকোস্টাল স্পেসে গ্রেড ২/৬ সিস্টোলিক মর্মর সর্বোত্তমভাবে শোনা যায়। পেট নরম, প্যাল্পেশনে হালকা সংবেদনশীলতা আছে, কোনো গার্ডিং বা রিবাউন্ড নেই। দেহের বাকি পরীক্ষা কোন অস্বাভাবিকতা দেখায় না। সম্পূর্ণ রক্ত গণনা রেফারেন্স সীমার মধ্যে রয়েছে। চিকিৎসা না করলে এই রোগী নিম্নলিখিত অবস্থাগুলোর মধ্যে সবচেয়ে বেশি ঝুঁকিতে থাকবে?",0,0.7574599981307983,-5.202336311340332,0.837425172328949,5.202336311340332
US-00003,gpt-oss:120b,1,Asphyxia,অ্যাসফিক্সিয়া,0,0.8721249103546143,-0.1685696244239807,0.7459211945533752,0.1685696244239807
US-00003,gpt-oss:120b,2,Achlorhydria,আক্লোরহাইড্রিয়া,0,0.8461111187934875,-4.340889930725098,0.7511236071586609,4.340889930725098
US-00003,gpt-oss:120b,3,T-cell lymphoma,টি-সেল লিম্ফোমা,0,0.8697826266288757,-0.5412701368331909,0.8291190266609192,0.5412701368331909
US-00003,gpt-oss:120b,4,Megaloblastic anemia,মেগালোব্লাস্টিক অ্যানেমিয়া,0,0.8551999926567078,-0.1260165572166443,0.7781256437301636,0.1260165572166443
US-00003,gpt-oss:120b,5,Dementia,ডিমেনশিয়া,0,0.884775698184967,-1.1444447040557861,0.6843091249465942,1.1444447040557861
