row_id,src_en,hyp_bn,tier,fluency,acceptable,tags,note
R0001,"A 65-year-old woman with COPD comes to the emergency department with 2-day history of worsening shortness of breath and cough. She often has a mild productive cough, but she noticed that her sputum is more yellow than usual. She has not had any recent fevers, chills, sore throat, or a runny nose. Her only medication is a salmeterol inhaler that she uses twice daily. Her temperature is 36.7°C (98°F), pulse is 104/min, blood pressure is 134/73 mm Hg, respiratory rate is 22/min, and oxygen saturation is 85%. She appears uncomfortable and shows labored breathing. Lung auscultation reveals coarse bibasilar inspiratory crackles. A plain film of the chest shows mild hyperinflation and flattening of the diaphragm but no consolidation. She is started on supplemental oxygen via nasal cannula. Which of the following is the most appropriate initial pharmacotherapy?
A. Roflumilast and prednisone
B. Albuterol and montelukast
C. Prednisone and salmeterol
D. Albuterol and theophylline
E. Prednisone and albuterol
F. Prednisone and tiotropium","৬৫ বছর বয়সী COPD রোগী নারী জরুরি বিভাগে দুই দিনের শ্বাসকষ্ট ও কাশের বৃদ্ধি নিয়ে আসেন। তিনি সাধারণত হালকা উৎপাদনশীল কাশি করেন, তবে এখন তার কফি বেশি হলুদ রঙের হয়েছে। সাম্প্রতিক কোনো জ্বর, কম্পন, গলা ব্যথা বা নাক দিয়ে পানি পড়া নেই। তাঁর একমাত্র ওষুধ হলো স্যালমেটারল ইনহেলার যা তিনি দিনে দুবার ব্যবহার করেন। তাপমাত্রা ৩৬.৭°C (৯৮°F), পালস ১০৪/মিনিট, রক্তচাপ ১৩৪/৭৩ mm Hg, শ্বাসের হার ২২/মিনিট, এবং অক্সিজেন স্যাচুরেশন ৮৫%। তিনি অস্বস্তিকর দেখায় ও শ্রমসাধ্য শ্বাস নিচ্ছেন। ফুসফুসে কুঁচকানো বেসিলার ইনস্পিরেটরি ক্র্যাকল শোনা যায়। চেস্টের প্লেইন রেডিওগ্রাফিতে হালকা হাইপারইনফ্লেশন এবং ডায়াফ্রাম সমতল দেখা যায়, তবে কোনো সংহতি নেই। তাকে নাসিকানাল ক্যানুলা দিয়ে সম্পূরক অক্সিজেন দেওয়া হয়। নিম্নের কোনটি সবচেয়ে উপযুক্ত প্রাথমিক ফার্মাকোথেরাপি?
A. রোফ্লুমিলাস্ট এবং প্রেডনিসোন
B. আলবিউটেরল এবং মন্টেলুকাস্ট
C. প্রেডনিসোন এবং স্যালমেটারল
D. আলবিউটেরল এবং থিওফাইলিন
E. প্রেডনিসোন এবং আলবিউটেরল
F. প্রেডনিসোন এবং টায়োট্রোপিয়াম",,,,,
R0007,"A 36-year-old woman with HIV comes to the physician because of a 3-day history of pain and watery discharge in her left eye. She also has blurry vision and noticed that she is more sensitive to light. Her right eye is asymptomatic. She had an episode of shingles 7 years ago. She was diagnosed with HIV 5 years ago. She admits that she takes her medication inconsistently. She wears contact lenses. Current medications include abacavir, lamivudine, efavirenz, and a nutritional supplement. Her temperature is 37°C (98.6°F), pulse is 89/min, and blood pressure is 110/70 mm Hg. Examination shows conjunctival injection of the left eye. Visual acuity is 20/20 in the right eye and 20/80 in the left eye. Extraocular movements are normal. Her CD4+ T-lymphocyte count is 90/mm3. A photograph of the left eye after fluorescein administration is shown. Which of the following is the most likely diagnosis?
A. Neurotrophic keratopathy
B. Pseudomonas keratitis
C. Herpes zoster keratitis
D. Fusarium keratitis
E. Herpes simplex keratitis
F. Acanthamoeba keratitis
""","একজন ৩৬ বছর বয়সী HIV আক্রান্ত নারী ডাক্তারের কাছে আসেন কারণ তার বাম চোখে ৩ দিনের ব্যথা ও জলীয় নিঃসরণ হয়েছে। তিনি ঝাপসা দৃষ্টিও অনুভব করছেন এবং আলোতে বেশি সংবেদনশীলতা লক্ষ্য করেছেন। তার ডান চোখে কোনো উপসর্গ নেই। তিনি ৭ বছর আগে শিংলস (হের্পেস জোস্টার) রোগে আক্রান্ত ছিলেন। ৫ বছর আগে তাকে HIV নির্ণয় করা হয়েছিল। তিনি স্বীকার করেন যে ওষুধগুলো অনিয়মিতভাবে নেন। তিনি কন্টাক্ট লেন্স ব্যবহার করেন। বর্তমান ওষুধগুলোর মধ্যে আছে এবাসাভির, ল্যামিভুডিন, ইফাভারেঞ্জ এবং একটি পুষ্টি সম্পূরক। তার তাপমাত্রা ৩৭°C (৯৮.৬°F), পালস ৮৯/মিনিট, রক্তচাপ ১১০/৭০ mm Hg। পরীক্ষায় বাম চোখের কনজাংটিভাল ইনজেকশন দেখা যায়। ভিজ্যুয়াল একিউটি ডান চোখে ২০/২০ এবং বামে ২০/৮০। অতিরিক্ত চোখের গতি স্বাভাবিক। তার CD4+ টি-লিম্ফোসাইট গণনা ৯০/mm3। ফ্লুরেসিন প্রয়োগের পর বাম চোখের একটি ছবি দেখানো হয়েছে। নিম্নলিখিতগুলোর মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. নিউরোট্রফিক কেরাটোপ্যাথি
B. পসুডোমোনাস কেরাটাইটিস
C. হার্পেস জোস্টার কেরাটাইটিস
D. ফুসারিয়াম কেরাটাইটিস
E. হার্পেস সিমপ্লেক্স কেরাটাইটিস
F. অ্যাক্যান্থামোইবা কেরাটাইটিস",,,,,
R0013,"An 81-year-old man is brought to the physician by his daughter after being found wandering on the street. His daughter says that over the past several months he has been more aggressive towards friends and family. She also reports several episodes in which he claimed to see two strangers in her apartment. He sometimes stares blankly for several minutes and does not react when addressed. He has hypertension, hyperlipidemia, and was diagnosed with Parkinson disease 10 months ago. His current medications include carbidopa-levodopa, hydrochlorothiazide, and atorvastatin. His temperature is 37°C (98.6°F), pulse is 99/min, and blood pressure is 150/85 mm Hg. He is confused and oriented to person and place but not to time. There is a resting tremor in his right upper extremities. There is muscle rigidity in the upper and lower extremities. He is able to walk without assistance but has a slow gait with short steps. Mental status examination shows short-term memory deficits. Which of the following is the most likely underlying cause of this patient's condition?
A. Lewy body deposition
B. Vascular infarcts
C. Frontotemporal lobe atrophy
D. Prion formation
E. Thiamine deficiency
F. Impaired CSF absorption","একজন ৮১ বছর বয়সী পুরুষকে তার মেয়ে ডাক্তারকের কাছে নিয়ে এসেছে, যাকে রাস্তায় ঘুরে বেড়াতে পাওয়া গিয়েছিল। তার মেয়ে বলেন যে গত কয়েক মাসে তিনি বন্ধু ও পরিবারের প্রতি বেশি আগ্রাসী হয়ে উঠেছেন। তিনি আরও জানান যে কিছু সময়ে রোগী দাবি করেছেন যে তিনি তাঁর অ্যাপার্টমেন্টে দুই অচেনা ব্যক্তিকে দেখছেন। কখনও কখনও তিনি কয়েক মিনিটের জন্য খালি চোখে তাকিয়ে থাকেন এবং সম্বোধন করলে প্রতিক্রিয়া দেন না। তার উচ্চ রক্তচাপ, হাইপারলিপিডেমিয়া আছে এবং ১০ মাস আগে পার্কিনসন রোগ নির্ণয় হয়েছে। বর্তমানে তিনি কারবিডোपा-লেভডোপা, হাইড্রোক্লোরথায়াজাইড ও অ্যাটরভাস্টেটিন গ্রহণ করছেন। তার তাপমাত্রা ৩৭°C (৯৮.৬°F), পাল্স ৯৯/মিনিট এবং রক্তচাপ ১৫০/৮৫ mmHg। তিনি বিভ্রান্ত এবং ব্যক্তি ও স্থানের প্রতি সচেতন তবে সময়ের প্রতি নয়। ডান উপরের অঙ্গে বিশ্রামকালে কম্পন রয়েছে। উপরে ও নিচে পেশীর কঠোরতা আছে। তিনি সহায়তা ছাড়াই হাঁটতে পারেন, তবে ধীর গতি ও ছোট পদক্ষেপ নেন। মানসিক পরীক্ষা দেখায় স্বল্পমেয়াদী স্মৃতির ঘাটতি। নিম্নলিখিতগুলির মধ্যে কোনটি এই রোগীর অবস্থার সবচেয়ে সম্ভাব্য অন্তর্নিহিত কারণ?
A. লুই বডি সঞ্চয়
B. রক্তনালি সংক্রান্ত ইনফার্কট
C. ফ্রন্টোটেম্পোরাল লোবের অ্যাট্রোফি
D. প্রায়ন গঠন
E. থিয়ামিন ঘাটতি
F. সিএসএফ শোষণে ব্যাঘাত",,,,,
R0014,"A 38-year-old man is brought to the emergency department after losing consciousness upon rising from his chair at work. The patient has had progressive cough, shortness of breath, fever, and chills for 6 days but did not seek medical attention for these symptoms. He appears distressed, flushed, and diaphoretic. He is 170 cm (5 ft 7 in) tall and weighs 120 kg (265 lbs); BMI is 41.5 kg/m2. His temperature is 39.4°C (102.9°F), pulse is 129/min, respirations are 22/min, and blood pressure is 91/50 mm Hg when supine. Crackles and bronchial breath sounds are heard over the right posterior hemithorax. A 2/6 midsystolic blowing murmur is heard along the left upper sternal border. Examination shows diffuse diaphoresis, flushed extremities, and dullness to percussion over the right posterior hemithorax. The abdomen is soft and nontender. Multiple nurses and physicians have been unable to attain intravenous access. A large-bore central venous catheter is inserted into the right internal jugular vein by standard sterile procedure. Which of the following is the most appropriate next step in the management of this patient?
A. Administer intravenous levofloxacin
B. Echocardiogram
C. Bronchoscopy
D. CT scan of the chest
E. Chest X-ray
F. Administer intravenous norepinephrine","একজন ৩৮ বছর বয়সী পুরুষকে জরুরি বিভাগে নিয়ে আসা হয়েছে, যিনি কাজের চেয়ার থেকে উঠে দাঁড়ানোর সময় অচেতন হয়ে যান। রোগীর শ্বাসকষ্ট, কাশি, জ্বর এবং ঠাণ্ডা লাগা সহ ৬ দিনের ক্রমবর্ধমান উপসর্গ রয়েছে, তবে তিনি এই লক্ষণগুলোর জন্য কোনো চিকিৎসা সেবা গ্রহণ করেননি। তিনি উদ্বিগ্ন, লালাচ্ছন্ন ও ঘামিয়ে আছেন। তার উচ্চতা ১৭০ সে.মি (৫ ফুট ৭ ইঞ্চি) এবং ওজন ১২০ কেজি (২৬৫ পাউন্ড); BMI ৪১.৫ কেজি/মি2। তাপমাত্রা ৩৯.৪°C (১০২.৯°F), পালস ১২৯/মিনিট, শ্বাসপ্রশ্বাস ২২/মিনিট, এবং supine অবস্থায় রক্তচাপ ৯১/৫০ mm Hg। ডান পেছনের হেমিথোর্যাক্সে ক্র্যাকল ও ব্রঙ্কিয়াল শ্বাসের শব্দ শোনা যায়। বাম উপরের স্টার্নাল সীমানা বরাবর একটি ২/৬ মাঝ-সিস্টোলিক ব্লোয়িং মর্মর শোনা যায়। পরীক্ষায় বিস্তৃত ঘাম, লালাচ্ছন্ন অঙ্গপ্রত্যঙ্গ এবং ডান পেছনের হেমিথোর্যাক্সে ট্যাপ করা হলে ধূসরতা দেখা যায়। পেট নরম ও অ-সংবেদনশীল। বহু নার্স ও ডাক্তারই শিরা প্রবেশের চেষ্টা ব্যর্থ হয়েছে। স্ট্যান্ডার্ড স্টেরাইল প্রক্রিয়ায় ডান অভ্যন্তরীণ জাগুলার ভেইনে একটি বড়-বোর সেন্ট্রাল ভেনাস ক্যাথেটার স্থাপন করা হয়। নিম্নলিখিতগুলির মধ্যে কোনটি এই রোগীর ব্যবস্থাপনার সর্বোত্তম পরবর্তী ধাপ?
A. ইন্ট্রাভেনাস লেভোফ্লোক্সাসিন প্রদান করুন
B. ইকোকার্ডিওগ্রাম
C. ব্রঙ্কোস্কপি
D. ছাতির সিটি স্ক্যান
E. ছাতির এক্স-রে
F. ইন্ট্রাভেনাস নোরএপিনেফ্রিন প্রদান করুন",,,,,
R0015,"A 71-year old man is brought to the emergency department because of progressively worsening shortness of breath and fatigue for 3 days. During the last month, he has also noticed dark colored urine. He had an upper respiratory infection 6 weeks ago. He underwent a cholecystectomy at the age of 30 years. He has hypertension, hyperlipidemia, and type 2 diabetes mellitus. He immigrated to the US from Italy 50 years ago. Current medications include simvastatin, lisinopril, and metformin. He appears pale. His temperature is 37.1°C (98.8°F), pulse is 96/min, respirations are 21/min, and blood pressure is 150/80 mm Hg. Auscultation of the heart shows a grade 4/6 systolic murmur over the right second intercostal space that radiates to the carotids. Laboratory studies show:
Leukocyte count 9,000/mm3
Hemoglobin 8.3 g/dL
Hematocrit 24%
Platelet count 180,000/mm3
LDH 212 U/L
Haptoglobin 15 mg/dL (N=41-165)
Serum
Na+ 138 mEq/L
K+ 4.5 mEq/L
CL- 102 mEq/L
HCO3- 24 mEq/L
Urea nitrogen 20 mg/dL
Creatinine 1.2 mg/dL
Total bilirubin 1.8 mg/dL
Stool testing for occult blood is negative. Direct Coombs test is negative. Echocardiography shows an aortic jet velocity of 4.2 m/s and a mean pressure gradient of 46 mm Hg. Which of the following is the most appropriate next step in management to treat this patient's anemia?""
A. Administration of corticosteroids
B. Administration of hydroxyurea
C. Supplementation with iron
D. Aortic valve replacement
E. Discontinuation of medication
""","71 বছর বয়সী একজন পুরুষকে শ্বাসকষ্ট এবং ক্লান্তি বাড়ার কারণে জরুরি বিভাগে আনা হয়েছে, যা গত ৩ দিন ধরে অবনতি হচ্ছে। শেষ মাসে তিনি গাঢ় রঙের মূত্র লক্ষ্য করেছেন। ৬ সপ্তাহ আগে তার উপরের শ্বাসযন্ত্রের সংক্রমণ হয়েছিল। ৩০ বছর বয়সে তিনি কোলেসিস্টেক্টমি করিয়েছেন। তাঁর উচ্চ রক্তচাপ, হাইপারলিপিডেমিয়া এবং টাইপ ২ ডায়াবেটিস মেলিটাস রয়েছে। তিনি ৫০ বছর আগে ইতালি থেকে যুক্তরাষ্ট্রে অভিবাসন করেন। বর্তমান ওষুধের মধ্যে সিমভাস্টাটিন, লিসিনোপ্রিল এবং মেটফরমিন অন্তর্ভুক্ত। তিনি শ্বেতবর্ণহীন দেখাচ্ছেন। তাপমাত্রা ৩৭.১°C (৯৮.৮°F), পালস ৯৬/মিনিট, শ্বাসপ্রশ্বাস ২১/মিনিট, রক্তচাপ ১৫০/৮০ mm Hg। হৃদয়ের অডিটে ডানদিকের দ্বিতীয় ইন্টারকোস্টাল স্পেসে গ্রেড ৪/৬ সিস্টোলিক মর্মর ক্যারোটিডে বিকিরণ করছে। ল্যাব ফলাফল:
লিউকোসাইট কাউন্ট ৯,০০০/mm3
হিমোগ্লোবিন ৮.৩ g/dL
হেমাটোক্রিট ২৪%
প্লেটলেট কাউন্ট ১৮০,০০০/mm3
LDH ২১২ U/L
হ্যাপ্টোগ্লোবিন ১৫ mg/dL (সাধারণ = ৪১-১৬৫)
সিরাম:
Na+ ১৩৮ mEq/L
K+ ৪.৫ mEq/L
Cl- ১০২ mEq/L
HCO3- ২৪ mEq/L
ইউরিয়া নাইট্রোজেন ২০ mg/dL
ক্রিয়েটিনিন ১.২ mg/dL
মোট বিলিরুবিন ১.৮ mg/dL
স্টুলে লুকায়িত রক্তের পরীক্ষা নেগেটিভ। ডাইরেক্ট কোম্বস টেস্ট নেগেটিভ। ইকোকার্ডিওগ্রাফি দেখিয়েছে অয়োরটিক জেট ভেলোসিটি ৪.২ m/s এবং গড় চাপ গ্রেডিয়েন্ট ৪৬ mm Hg। নিম্নলিখিত কোনটি রোগীর অ্যানিমিয়া চিকিৎসার জন্য সবচেয়ে উপযুক্ত পরবর্তী পদক্ষেপ?
A. কর্টিকোস্টেরয়েড প্রয়োগ
B. হাইড্রোক্সিউরিয়া প্রয়োগ
C. লৌহ সম্পূরণ
D. অয়োরটিক ভালভ প্রতিস্থাপন
E. ওষুধ বন্ধ করা",,,,,
R0016,"A 57-year-old man is brought to the emergency department for worsening pain and swelling of his left ankle for the past 2 hours. The pain is severe and awakened him from sleep. He has hypertension and hyperlipidemia. Current medications include hydrochlorothiazide and pravastatin. His temperature is 37.8°C (100.1°F), pulse is 105/min, and blood pressure is 148/96 mm Hg. Examination shows exquisite tenderness, erythema, and edema of the left ankle; active and passive range of motion is limited by pain. Arthrocentesis of the ankle joint yields cloudy fluid with a leukocyte count of 19,500/mm3 (80% segmented neutrophils). Gram stain is negative. A photomicrograph of the joint fluid aspirate under polarized light is shown. Which of the following is the most appropriate pharmacotherapy?
A. Probenecid
B. Allopurinol
C. Colchicine and allopurinol
D. Aspirin
E. Prednisone and indomethacin
F. Triamcinolone and probenecid
G. Colchicine
H. Ketorolac and aspirin","একজন ৫৭ বছর বয়সী পুরুষকে জরুরি বিভাগে নিয়ে আসা হয়েছে গত দুই ঘণ্টায় তার বাম গোড়ালির ব্যথা ও ফোলাভাব বাড়ার জন্য। ব্যথা তীব্র এবং ঘুম থেকে জাগিয়ে তুলেছে। তিনি উচ্চ রক্তচাপ ও হাইপারলিপিডেমিয়া রোগী। বর্তমানে তিনি হাইড্রোক্লোরোথিয়াজাইড ও প্রাভাস্টাটিন গ্রহণ করছেন। তার শরীরের তাপমাত্রা ৩৭.৮°C (১০০.১°F), পালস ১০৫/মিনিট, এবং রক্তচাপ ১৪৮/৯৬ mm Hg। পরীক্ষায় বাম গোড়ালিতে তীব্র সংবেদনশীলতা, লালভাব ও ফোলাভাব দেখা যায়; সক্রিয় ও নিষ্ক্রিয় গতিসীমা ব্যথার কারণে সীমিত। আর্থ্রোসেন্টেসিসে মেঘলা তরল পাওয়া গেছে যার শ্বেত রক্তকণিকা সংখ্যা ১৯,৫০০/mm3 (৮০% সেগমেন্টেড নিউট্রোফিল)। গ্রাম স্টেইন নেগেটিভ। ধ্রুবীয় আলোতে জয়েন্ট ফ্লুইডের ফটো-মাইক্রোগ্রাফ দেখানো হয়েছে। নিম্নলিখিতগুলির মধ্যে কোনটি সর্বাধিক উপযুক্ত ঔষধি থেরাপি?
A. Probenecid
B. Allopurinol
C. Colchicine and allopurinol
D. Aspirin
E. Prednisone and indomethacin
F. Triamcinolone and probenecid
G. Colchicine
H. Ketorolac and aspirin",,,,,
R0017,"A 24-year-old primigravid woman at 38 weeks' gestation comes to the physician for a prenatal visit. At the last two prenatal visits, transabdominal ultrasound showed the fetus in breech presentation. She has no medical conditions and only takes prenatal vitamins. Her pulse is 95/min, respirations are 16/min, and blood pressure is 130/76 mm Hg. The abdomen is soft and nontender; no contractions are felt. Pelvic examination shows a closed cervical os and a uterus consistent with 38 weeks' gestation. The fetal rate tracing shows a baseline heart rate of 152/min and 2 accelerations over 10 minutes. Repeat ultrasound today shows a persistent breech presentation. The patient states that she would like to attempt a vaginal delivery. Which of the following is the most appropriate next step in management?
A. Recommend cesarean section
B. Observe until spontaneous labor
C. Repeat ultrasound in one week
D. Offer external cephalic version
E. Offer internal podalic version","২৪ বছর বয়সী প্রথম গর্ভবতী নারী, ৩৮ সপ্তাহের গর্ভধারণে, প্রি-নাটাল ভিজিটের জন্য ডাক্তারের কাছে আসেন। শেষ দুইটি প্রি-নাটাল ভিজিটে ট্রান্সঅ্যাবডোমিনাল আল্ট্রাসাউন্ডে শিশুটি ব্রীচ পজিশনে দেখা গিয়েছিল। তার কোনো চিকিৎসা সংক্রান্ত সমস্যা নেই এবং তিনি শুধুমাত্র প্রি-নাটাল ভিটামিন গ্রহণ করেন। তার পালস ৯৫/মিনিট, শ্বাসপ্রশ্বাস ১৬/মিনিট, রক্তচাপ ১৩০/৭৬ mm Hg। পেট নরম ও অস্বেদনজনক; কোনো সংকোচন অনুভূত হয় না। পেলভিক পরীক্ষা দেখায় সের্ভিকাল ওস বন্ধ এবং গর্ভাশয় ৩৮ সপ্তাহের গর্ভধারণের সঙ্গে সামঞ্জস্যপূর্ণ। ফিটাল হার্ট রেট ট্রেসিংয়ে বেসলাইন হার্ট রেট ১৫২/মিনিট এবং ১০ মিনিটে ২টি ত্বরান্বিত বৃদ্ধি দেখা যায়। আজকের পুনরায় আল্ট্রাসাউন্ডেও ধারাবাহিকভাবে ব্রীচ পজিশন দেখানো হয়েছে। রোগী জানান তিনি যোনি মাধ্যমে ডেলিভারি করার চেষ্টা করতে চান। নিম্নলিখিতগুলির মধ্যে কোনটি সর্বোত্তম পরবর্তী ব্যবস্থাপনা পদক্ষেপ?
A. সিজারিয়ান সেকশন করার পরামর্শ দিন
B. স্বয়ংক্রিয় প্রসব পর্যন্ত পর্যবেক্ষণ করুন
C. এক সপ্তাহে আল্ট্রাসাউন্ড পুনরায় করান
D. বাহ্যিক মাথা পরিবর্তন (এক্সটার্নাল সেফ্যালিক ভার্সন) প্রস্তাব করুন
E. অভ্যন্তরীণ পডালিক ভার্সন প্রস্তাব করুন",,,,,
R0018,"A 2-month-old girl is admitted to the hospital because of a 1-day history of fever and difficulty breathing. She has also had nasal congestion for 2 days. She was born at 28 weeks' gestation and weighed 1105 g (2 lb 7 oz); she currently weighs 2118 g (4 lb 11 oz). Her neonatal course was complicated by respiratory distress syndrome. She required supplemental oxygen for 36 days following birth. She was diagnosed with bronchopulmonary dysplasia 3 weeks ago. The infant missed an appointment with the pediatrician 2 weeks ago. Her only medication is vitamin D drops. She appears lethargic. Her temperature is 38.6°C (101.4°F), pulse is 160/min, respirations are 55/min, and blood pressure is 80/45 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 87%. Physical examination shows moderate subcostal retractions. Wheezing is heard on auscultation of the chest. Her hemoglobin concentration is 10.5 g/dL, leukocyte count is 13,000/mm3, and platelet count is 345,000/mm3. Mechanic ventilatory support is initiated. After 4 days in the pediatric intensive care unit, the patient dies. Administration of which of the following is most likely to have prevented this patient's outcome?
A. Ribavirin
B. Postnatal glucocorticoid
C. Ceftriaxone
D. Respiratory syncytial virus immune globulin
E. Palivizumab","২ মাস বয়সী একটি মেয়ে এক দিনের জ্বর ও শ্বাসকষ্টের ইতিহাসে হাসপাতালে ভর্তি হয়। তার নাক বন্ধ হওয়ার উপসর্গও দুই দিন ধরে রয়েছে। সে গর্ভধারণের ২৮ সপ্তাহে জন্মগ্রহণ করে এবং ওজন ছিল ১১০৫ গ্রাম (২ পাউন্ড ৭ আউন্স); বর্তমানে তার ওজন ২১১৮ গ্রাম (৪ পাউন্ড ১১ আউন্স)। নবজাতক সময়ে তাকে শ্বাসযন্ত্রের ডিস্ট্রেস সিনড্রোমে আক্রান্ত করা হয়েছিল। জন্মের পর ৩৬ দিন অতিরিক্ত অক্সিজেন প্রয়োজন ছিল। তিন সপ্তাহ আগে তাকে ব্রঙ্কোফুসিয়াল ডিসপ্লাসিয়া নির্ণয় করা হয়। দুই সপ্তাহ আগে শিশুরা পেডিয়াট্রিশিয়ানের সঙ্গে অ্যাপয়েন্টমেন্ট মিস করেছিল। তার একমাত্র ওষুধ হল ভিটামিন ডি ড্রপস। সে অলস দেখাচ্ছে। তাপমাত্রা ৩৮.৬°C (১০১.৪°F), পাল্স ১৬০/মিনিট, শ্বাসপ্রশ্বাসের হার ৫৫/মিনিট এবং রক্তচাপ ৮০/৪৫ mm Hg। কক্ষবায়ুতে পলস অক্সিমেট্রি দেখায় অক্সিজেন স্যাচুরেশন ৮৭%। শারীরিক পরীক্ষায় মাঝারি সাবকোস্টাল রিট্র্যাকশন দেখা যায়। বুকে শোনালে হুইজিং শোনা যায়। তার হেমোগ্লোবিন ঘনত্ব ১০.৫ g/dL, লিউকোসাইট সংখ্যা ১৩,০০০/mm3 এবং প্লেটলেট সংখ্যা ৩৪৫,০০০/mm3। মেকানিক্যাল ভেন্টিলেটরি সাপোর্ট শুরু করা হয়। পেডিয়াট্রিক ইন্টেনসিভ কেয়ার ইউনিটে ৪ দিন পর রোগীটি মারা যায়। নিম্নলিখিত কোন ওষুধের প্রশাসন সম্ভবত এই রোগীর ফলাফল প্রতিরোধ করতে পারত?
A. রিবাভিরিন
B. পোস্টনাটাল গ্লুকোকর্টিকয়েড
C. সেফট্রিয়াক্সোন
D. শ্বাসযন্ত্রের সিনকিশিয়াল ভাইরাস ইমিউন গ্লোবুলিন
E. প্যালিভিজুম্যাব",,,,,
R0022,"A 37-year-old woman, gravida 2, para 1, at 35 weeks' gestation is brought to the emergency department for the evaluation of continuous, dark, vaginal bleeding and abdominal pain for one hour. Her first child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate. The patient has a history of hypertension and has been noncompliant with her hypertensive regimen. Her medications include methyldopa, folic acid, and a multivitamin. Her pulse is 90/min, respirations are 16/min, and blood pressure is 145/90 mm Hg. The abdomen is tender, and hypertonic contractions can be felt. There is blood on the vulva, the introitus, and on the medial aspect of both thighs. The fetus is in a breech presentation. The fetal heart rate is 180/min with recurrent decelerations. Which of the following is the cause of fetal compromise?
A. Rupture of the uterus
B. Placental tissue covering the cervical os
C. Rupture of aberrant fetal vessels
D. Abnormal position of the fetus
E. Detachment of the placenta","৩৭ বছর বয়সী গর্ভবতী নারী, gravida 2, para 1, ৩৫ সপ্তাহে অবিচ্ছিন্ন অন্ধকার রঙের যোনি রক্তপাত এবং পেটের ব্যথা এক ঘণ্টার জন্য জরুরি বিভাগে আনা হয়েছে। তার প্রথম সন্তান নিম্ন সেগমেন্ট ট্রান্সভার্স সিজারিয়ান সেকশনের মাধ্যমে ডেলিভারি করা হয়েছিল কারণ ফিটাল হার্ট রেট অনিরাপদ ছিল। রোগীর হাইপারটেনশন ইতিহাস আছে এবং তিনি তার ওষুধের নিয়ম মেনে চলছেন না। তার ওষুধগুলো হল মেথাইলডোपा, ফলিক অ্যাসিড এবং মাল্টিভিটামিন। তার পালস ৯০/মিনিট, শ্বাসপ্রশ্বাস ১৬/মিনিট, রক্তচাপ ১৪৫/৯০ mm Hg। পেটটি স্পর্শে নরম ও হাইপারটোনিক সংকোচন অনুভূত হয়। ভলভা, ইন্ট্রয়িটাস এবং উভয় থাইয়ের মিডিয়াল দিকের ওপর রক্ত আছে। শিশুটি ব্রিচ অবস্থায় রয়েছে। ফিটাল হার্ট রেট ১৮০/মিনিট এবং পুনরাবৃত্তি ডিকেলারেশন দেখা যাচ্ছে। নিম্নলিখিত কোনটি ভ্রূণের ক্ষতির কারণ?
A. গর্ভাশয়ের ছিঁড়ে যাওয়া
B. সার্ভিক্যাল ওসকে প্লাসেন্টাল টিস্যু আচ্ছাদন করা
C. অস্বাভাবিক ফিটাল রক্তনালী ছিঁড়ে যাওয়া
D. শিশুর অস্বাভাবিক অবস্থান
E. প্লাসেন্টার বিচ্ছিন্নতা",,,,,
R0023,"A 26-year-old primigravid woman at 10 weeks' gestation comes to the physician for a prenatal visit. Pregnancy was confirmed by an ultrasound 3 weeks earlier after the patient presented with severe nausea and vomiting. The nausea and vomiting have subsided without medication. She has no vaginal bleeding or discharge. Vital signs are within normal limits. Pelvic examination shows a uterus consistent in size with a 10-week gestation. Transvaginal ultrasonography shows a gestational sac with a mean diameter of 23 mm and an embryo 6 mm in length with absent cardiac activity. Which of the following is the most appropriate next step in management?
A. Serial β-HCG measurements
B. Misoprostol therapy
C. Oxytocin infusion
D. Cervical cerclage
E. Thrombophilia work-up
F. Methotrexate therapy
G. Levonorgestrel therapy","একজন ২৬ বছর বয়সী প্রথম গর্ভবতী নারী, যিনি ১০ সপ্তাহের গর্ভধারণে আছেন, প্রি-নাটাল পরিদর্শনের জন্য ডাক্তারের কাছে আসেন। রোগীর তীব্র বমি ও বমিভাবের পরে তিন সপ্তাহ আগে আল্ট্রাসাউন্ডে গর্ভধারণ নিশ্চিত হয়েছিল। বমি ও বমিভাব কোনো ঔষধ ছাড়াই কমে গেছে। তিনি কোনও যোনি রক্তপাত বা নিঃসরণ অনুভব করছেন না। গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে রয়েছে। পেলভিক পরীক্ষায় গর্ভাশয় ১০ সপ্তাহের গর্ভধারণের সঙ্গে সামঞ্জস্যপূর্ণ আকারের দেখা যায়। ট্রান্সভ্যাজাইনাল আল্ট্রাসাউন্ডে গেস্টেশনাল স্যাকের গড় ব্যাস ২৩ মিমি এবং দৈর্ঘ্য ৬ মিমি একটি ভ্রূণ দেখায়, যার হৃদস্পন্দন অনুপস্থিত। নিম্নলিখিতগুলির মধ্যে কোনটি সর্বোত্তম পরবর্তী ব্যবস্থাপনা পদক্ষেপ?
A. ক্রমিক β-HCG মাপা
B. মিসোপ্রস্টল থেরাপি
C. অক্সিটোসিন ইনফিউশন
D. সার্ভিকাল সার্ক্লেজ
E. থ্রম্বোফিলিয়া মূল্যায়ন
F. মেথোট্রেক্সেট থেরাপি
G. লেভোনর্গেস্ট্রেল থেরাপি",,,,,
