row_id,src_en,hyp_bn,tier,fluency,acceptable,tags,note
A0001,"A 17-year-old boy is brought to the physician by his mother because of increasingly withdrawn behavior for the last two years. His mother reports that in the last 2-3 years of high school, her son has spent most of his time in his room playing video games. He does not have any friends and has never had a girlfriend. He usually refuses to attend family dinner and avoids contact with his siblings. The patient states that he prefers being on his own. When asked how much playing video games means to him, he replies that “it's okay.” When his mother starts crying during the visit, he appears indifferent. Physical and neurologic examinations show no other abnormalities. On mental status examination, his thought process is organized and logical. His affect is flattened. Which of the following is the most likely diagnosis?
A. Schizotypal personality disorder
B. Schizophreniform disorder
C. Schizoid personality disorder
D. Antisocial personality disorder
E. Avoidant personality disorder
F. Autism spectrum disorder
G. Social anxiety disorder
H. Internet gaming disorder
I. Paranoid personality disorder","১৭ বছর বয়সী একটি ছেলে তার মা তাকে ডাক্তারকে নিয়ে এসেছেন কারণ শেষ দুই বছর ধরে ক্রমবর্ধমানভাবে প্রত্যাহারমূলক আচরণ দেখাচ্ছেন। তার মা জানান যে উচ্চ বিদ্যালয়ের শেষ ২-৩ বছরে, তার ছেলে অধিকাংশ সময় নিজের ঘরে ভিডিও গেম খেলতে ব্যয় করেছে। তার কোনো বন্ধু নেই এবং কখনোই বান্ধবী ছিল না। সে সাধারণত পারিবারিক রাতের খাবারে অংশ নিতে অস্বীকার করে এবং তার ভাইবোনদের সঙ্গে যোগাযোগ এড়িয়ে চলে। রোগী বলেন যে তিনি একা থাকা পছন্দ করেন। যখন তাকে জিজ্ঞাসা করা হয় ভিডিও গেম খেলা তার জন্য কতটা গুরুত্বপূর্ণ, তখন তিনি উত্তর দেন যে “এটি ঠিক আছে।” দর্শনের সময় যখন তার মা কাঁদতে শুরু করেন, তিনি উদাসীন দেখায়। শারীরিক এবং স্নায়বিক পরীক্ষায় অন্য কোনো অস্বাভাবিকতা দেখা যায় না। মানসিক অবস্থা পরীক্ষায়, তার চিন্তার প্রক্রিয়া সুসংগঠিত ও যুক্তিসঙ্গত। তার আবেগ প্রকাশ সমতল আছে। নিম্নের মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. স্কিজোটাইপাল পার্সোনালিটি ডিসঅর্ডার
B. স্কিজোফ্রেনিফর্ম ডিসঅর্ডার
C. স্কিজয়েড পার্সোনালিটি ডিসঅর্ডার
D. অ্যান্টিসোশিয়াল পার্সোনালিটি ডিসঅর্ডার
E. এভয়ডেন্ট পার্সোনালিটি ডিসঅর্ডার
F. অটিজম স্পেকট্রাম ডিসঅর্ডার
G. সোশ্যাল অ্যাংজাইটি ডিসঅর্ডার
H. ইন্টারনেট গেমিং ডিসঅর্ডার
I. প্যারানয়েড পার্সোনালিটি ডিসঅর্ডার",,,,,
A0002,"A 25-year-old man comes to the physician because of left-sided knee pain for 2 weeks. The pain started while playing basketball after suddenly hearing a popping sound. He has been unable to run since this incident. He has asthma, allergic rhinitis, and had a progressive bilateral sensorineural hearing impairment at birth treated with cochlear implants. His only medication is a salbutamol inhaler. The patient appears healthy and well-nourished. His temperature is 37°C (98.6°F), pulse is 67/min, and blood pressure is 120/80 mm Hg. Examination of the left knee shows medial joint line tenderness. Total knee extension is not possible and a clicking sound is heard when the knee is extended. An x-ray of the left knee shows no abnormalities. Which of the following is the most appropriate next step in the management of this patient?
A. Arthrocentesis of the left knee
B. Open meniscal repair
C. Reassurance and follow-up
D. MRI scan of the left knee
E. Arthroscopy of the left knee","একজন ২৫ বছর বয়সী পুরুষ ডাক্তারের কাছে আসে কারণ তার বাম পাশে হাঁটুর ব্যথা আছে ২ সপ্তাহ ধরে। ব্যাটবল খেলতে গিয়ে হঠাৎ পপিং শব্দ শোনার পর ব্যথা শুরু হয়। এই ঘটনার পর থেকে তিনি দৌড়াতে অক্ষম। তার হাঁপানি, অ্যালার্জিক রাইনাইটিস আছে, এবং জন্মের সময় প্রগতিশীল দ্বিপাক্ষিক সেন্সরিনিউরাল শোনার ক্ষমতা হ্রাস ছিল যা কক্লিয়ার ইম্প্ল্যান্ট দিয়ে চিকিৎসা করা হয়েছিল। তার একমাত্র ওষুধ হল স্যালবুটামল ইনহেলার। রোগী সুস্থ ও ভাল পুষ্টিকর দেখাচ্ছে। তার তাপমাত্রা ৩৭ ডিগ্রি সেলসিয়াস (৯৮.৬ ডিগ্রি ফারেনহাইট), পাল্স ৬৭/min, এবং রক্তচাপ ১২০/৮০ মিমি পারদ। বাম হাঁটুর পরীক্ষায় মিডিয়াল জয়েন্ট লাইনে সংবেদনশীলতা দেখা যায়। সম্পূর্ণ হাঁটু প্রসারণ সম্ভব নয় এবং হাঁটু প্রসারিত করার সময় একটি ক্লিকিং শব্দ শোনা যায়। বাম হাঁটুর এক্স-রে কোনো অস্বাভাবিকতা দেখায় না। নিম্নলিখিতগুলির মধ্যে কোনটি এই রোগীর ব্যবস্থাপনায় সবচেয়ে উপযুক্ত পরবর্তী ধাপ হবে?
A. বাম হাঁটুর আর্থ্রোসেন্টেসিস
B. ওপেন মেনিস্কাল রেপেয়ার
C. আশ্বাস এবং ফলো-আপ
D. বাম হাঁটুর এমআরআই স্ক্যান
E. বাম হাঁটুর আর্থ্রোস্কপি",,,,,
A0003,"A 35-year-old woman comes to the physician for the evaluation of increasing weakness and numbness of the upper extremities for 5 days. During the past 2 days, she has had urinary incontinence not related to sneezing or laughing. Last summer, she had weakness and numbness of her right lower extremity that was worse when she was outside; she regained her strength 3 weeks later. She has no history of serious illness. She has had 10 male sexual partners in her lifetime and uses condoms inconsistently. Vital signs are within normal limits. Examination shows an impaired tandem gait. There is mild spasticity and muscle strength is decreased in both upper extremities. Deep tendon reflexes are 4+ bilaterally. The abdominal reflex is absent. Muscle strength in the right lower extremity is mildly decreased. Sensation to vibration and fine touch is decreased over the upper extremities. Which of the following is the most appropriate next step in diagnosis?
A. Serum vitamin B12 level
B. Antinuclear antibody testing
C. Muscle biopsy
D. Rapid plasma reagin test
E. MRI of the brain and spine
F. Electromyography
G. Lumbar puncture","একজন ৩৫ বছর বয়সী নারী চিকিৎসকের কাছে উপরের অঙ্গগুলোর ক্রমবর্ধমান দুর্বলতা এবং অসংবেদনশীলতার মূল্যায়নের জন্য আসে, যা গত ৫ দিন ধরে চলছে। গত ২ দিনের মধ্যে, তিনি হাঁচি বা হাসির সঙ্গে সম্পর্কহীন মূত্র অনিয়ন্ত্রন অনুভব করেছেন। গত গ্রীষ্মে, তিনি তার ডান নীচের অঙ্গে দুর্বলতা এবং অসংবেদনশীলতা অনুভব করেন যা বাইরে থাকলে আরও খারাপ হতো; তিন সপ্তাহ পরে তিনি আবার শক্তি ফিরে পেয়েছিলেন। তার কোনো গুরুতর রোগের ইতিহাস নেই। তিনি তার জীবনে মোট ১০ জন পুরুষ যৌন সঙ্গীর সঙ্গে সম্পর্ক রেখেছেন এবং কন্ডোম অনিয়মিতভাবে ব্যবহার করেন। জীবনচিহ্নগুলো স্বাভাবিক সীমার মধ্যে রয়েছে। পরীক্ষায় ট্যান্ডেম গেইটে অক্ষমতা দেখা যায়। উভয় উপরের অঙ্গে হালকা স্প্যাস্টিকতা এবং পেশীর শক্তি কমে গেছে। উভয় পাশে গভীর টেন্ডন প্রতিক্রিয়া ৪+। পেটের প্রতিক্রিয়া অনুপস্থিত। ডান নীচের অঙ্গে পেশীর শক্তি হালকা কমে গেছে। উপরের অঙ্গগুলিতে কম্পন এবং সূক্ষ্ম স্পর্শের অনুভূতি কমে গেছে। নিম্নোক্ত কোনটি নির্ণয়ের জন্য সবচেয়ে উপযুক্ত পরবর্তী পদক্ষেপ হবে?
A. সিরাম ভিটামিন বি১২ মাত্রা
B. অ্যান্টি নিউক্লিয়ার অ্যান্টিবডি পরীক্ষণ
C. পেশীর বায়োপসি
D. র্যাপিড প্লাজমা রিগেন পরীক্ষা
E. মস্তিষ্ক ও মেরুদণ্ডের এমআরআই
F. ইলেক্ট্রোমায়োগ্রাফি
G. লাম্বার পাঙ্কচার",,,,,
A0004,"A 17-year-old girl is brought to the physician because of amenorrhea for 4 months. Menses previously occurred at regular 28-day intervals and last for 3 to 4 days. There is no family history of serious illness. She receives good grades in school and is on the high school track team. She is sexually active with one male partner and uses condoms consistently. She appears thin. Examination shows bilateral parotid gland enlargement. There is fine hair over the trunk. Serum studies show:
Thyroid-stimulating hormone 3.7 μU/mL
Prolactin 16 ng/mL
Estradiol 23 pg/mL (N > 40)
Follicle-stimulating hormone 1.6 mIU/mL
Luteinizing hormone 2.8 mIU/mL
A urine pregnancy test is negative. Which of the following is the most likely cause of these findings?""
A. Exogenous steroid use
B. Defective androgen receptors
C. Gonadal dysgenesis
D. Abnormal neuronal cell migration
E. Hyperandrogenic anovulation
F. Nutritional deficiency","একজন ১৭ বছর বয়সী মেয়ে অমেনোরিয়া চার মাসের জন্য হওয়ায় ডাক্তারের কাছে আনা হয়। পূর্বে ঋতু নিয়মিত ২৮-দিনের অন্তরালে ঘটতো এবং ৩ থেকে ৪ দিন স্থায়ী হতো। গুরুতর রোগের কোনো পারিবারিক ইতিহাস নেই। সে স্কুলে ভাল গ্রেড পায় এবং উচ্চ বিদ্যালয়ের ট্র্যাক দলে রয়েছে। সে এক পুরুষ সঙ্গীর সঙ্গে যৌন সক্রিয় এবং নিয়মিত কন্ডোম ব্যবহার করে। তার শারীরিক গঠন পাতলা দেখায়। পরীক্ষায় দ্বিপাক্ষিক প্যারোটিড গ্রন্থির বৃদ্ধি দেখা যায়। দেহের মূল অংশে সূক্ষ্ম লোম রয়েছে। সিরাম গবেষণায় দেখা যায়:
থাইরয়েড-স্টিমুলেটিং হরমোন ৩.৭ মাইক্রোইউ/মিলিলিটার
প্রোল্যাকটিন ১৬ ন্যানোগ্রাম/মিলিলিটার
ইস্ট্রাডিয়ল ২৩ পিকোগ্রাম/মিলিলিটার (এন > ৪০)
ফলিকল-স্টিমুলেটিং হরমোন ১.৬ মিলিইউনিট/মিলিলিটার
লুটিনাইজিং হরমোন ২.৮ মিলিইউনিট/মিলিলিটার
একটি মূত্র গর্ভধারণ পরীক্ষার ফলাফল নেতিবাচক। নিম্নলিখিতগুলির মধ্যে কোনটি এই ফলাফলের সবচেয়ে সম্ভাব্য কারণ?
A. বাহ্যিক স্টেরয়েড ব্যবহার
B. ত্রুটিপূর্ণ অ্যান্ড্রোজেন রিসেপ্টর
C. গোনাডাল ডিসজেনেসিস
D. অস্বাভাবিক স্নায়ু কোষ স্থানান্তরণ
E. হাইপারঅ্যান্ড্রোজেনিক অ্যানোভুলেশন
F. পুষ্টি ঘাটতি",,,,,
A0005,"A 3-year-old boy is brought to the physician for a follow-up examination. He has lactose intolerance. His family emigrated from Somalia 6 months ago. He is at the 30th percentile for height and 15th percentile for weight. Vital signs are within normal limits. Examination shows pale conjunctivae, an erythematous throat, and swollen tongue. There is inflammation of the perioral and labial mucosa, and peeling and cracking of the skin at the corners of the mouth. Cardiopulmonary examination shows no abnormalities. His hemoglobin concentration is 9.8 g/dL and mean corpuscular volume is 87 μm3. If left untreated, this child is also most likely to develop which of the following?
A. Hypersegmented neutrophils
B. Ecchymosis
C. Keratomalacia
D. Ataxia
E. Dilated cardiomyopathy
F. Seborrheic dermatitis","একটি ৩ বছর বয়সী ছেলে ফলো-আপ পরীক্ষার জন্য ডাক্তারের কাছে আনা হয়েছে। তার ল্যাকটোজ অসহিষ্ণুতা রয়েছে। তার পরিবার সোমালিয়া থেকে ছয় মাস আগে অভিবাসন করেছে। তিনি উচ্চতার ত্রিশতম পার্সেন্টাইল এবং ওজনের পনেরোতম পার্সেন্টাইলে রয়েছেন। গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে আছে। পরীক্ষায় ফিকে কনজাঙ্ক্টিভা, লালচে গলা এবং ফুলে ওঠা জিহ্বা দেখা যায়। পারি-ওরাল ও ল্যাবিয়াল মিউকোসার প্রদাহ রয়েছে, এবং মুখের কোণায় ত্বকের ছাঁটা ও ফাটল লক্ষ্য করা যায়। কার্ডিওপুলমোনারি পরীক্ষায় কোনো অস্বাভাবিকতা পাওয়া যায় না। তার হিমোগ্লোবিন ঘনত্ব ৯.৮ গ্রাম প্রতি ডেসিলিটার এবং গড় কর্পাসকুলার ভলিউম ৮৭ মাইক্রোমিটর৩। যদি চিকিৎসা না করা হয়, তবে এই শিশুটি নিম্নলিখিত কোনটি বিকাশের সবচেয়ে সম্ভাবনা রয়েছে?
A. হাইপারসেগমেন্টেড নিউট্রোফিল
B. ইক্কিমোসিস
C. কেরাটোমালেসিয়া
D. অ্যাটাক্সিয়া
E. ডিলেটেড কার্ডিওমায়োকার্ডিয়োপ্যাথি
F. সেবোরিক ডার্মাটাইটিস",,,,,
A0006,"A 36-year-old woman, gravida 3, para 2, at 42 weeks' gestation comes to the physician for induction of labor. Her pregnancy has been uncomplicated. Her two other children were born after uncomplicated vaginal deliveries at 41 and 42 weeks' gestation, respectively. Her only medication is a prenatal vitamin. She is 165 cm (5 ft 5 in) tall and weighs 86 kg (200 lb); BMI is 33 kg/m2. Her temperature is 36.8°C (98.4°F), pulse is 90/min, respirations are 14/min, and blood pressure is 110/80 mmHg. Examination shows a nontender, soft uterus consistent in size with a 42-weeks' gestation. This patient's child is at greatest risk for which of the following complications?
A. Polyhydramnios
B. Acute respiratory distress syndrome
C. Caudal regression syndrome
D. Meconium aspiration
E. Placental abruption","৩৬ বছর বয়সী এক নারী, গ্যাভিডা ৩, প্যারা ২, ৪২ সপ্তাহের গর্ভধারণে ডাক্তারের কাছে শ্রম উদ্দীপনার জন্য আসেন। তার গর্ভাবস্থা কোনো জটিলতা ছাড়া ছিল। তার দুইটি অন্য সন্তান অনুকূল যোনি মাধ্যমে যথাক্রমে ৪১ এবং ৪২ সপ্তাহে জন্মগ্রহণ করেছে, কোন জটিলতা ছাড়াই। তার একমাত্র ওষুধ হল একটি প্রি-নাটাল ভিটামিন। তিনি উচ্চতা ১৬৫ সেন্টিমিটার (৫ ফুট ৫ ইঞ্চি) এবং ওজন ৮৬ কেজি (২০০ পাউন্ড); বিএমআই ৩৩ কেজি/মি২। তার তাপমাত্রা ৩৬.৮ ডিগ্রি সেলসিয়াস (৯৮.৪ ডিগ্রি ফারেনহাইট), পালস ৯০/মিনিট, শ্বাসপ্রশ্বাস ১৪/মিনিট, এবং রক্তচাপ ১১০/৮০ মিমি পারদ। পরীক্ষায় দেখা যায় ননটেন্ডার, সফ্ট জরায়ু যা আকারে ৪২-সপ্তাহের গর্ভধারণের সঙ্গে সামঞ্জস্যপূর্ণ। এই রোগীর শিশুটি নিম্নলিখিত জটিলতাগুলির মধ্যে কোনটির সর্বোচ্চ ঝুঁকিতে রয়েছে?
A. পলিহাইড্রামনিয়োস
B. তীব্র শ্বাসকষ্ট সিন্ড্রোম
C. ক্যাডাল রিগ্রেশন সিন্ড্রোম
D. মেকোনিয়াম অ্যাসপিরেশন
E. প্লাসেন্টাল এব্রাপশন",,,,,
A0007,"A 21-year-old college student comes to the emergency department because of a two-day history of vomiting and epigastric pain that radiates to the back. He has a history of atopic dermatitis and Hashimoto thyroiditis. His only medication is levothyroxine. He has not received any routine vaccinations. He drinks 1-2 beers on the weekends and occasionally smokes marijuana. The patient appears distressed and is diaphoretic. His temperature is 37.9°C (100.3°F), pulse is 105/min, respirations are 16/min, and blood pressure is 130/78 mm Hg. Physical examination shows abdominal distention with tenderness to palpation in the epigastrium. There is no guarding or rebound tenderness. Skin examination shows several clusters of yellow plaques over the trunk and extensor surfaces of the extremities. Hemoglobin concentration is 15.2 g/dL and serum calcium concentration is 7.9 mg/dL. Which of the following is the most appropriate next step in evaluation?
A. Perform a pilocarpine-induced sweat test
B. Measure serum mumps IgM titer
C. Perform an esophagogastroduodenoscopy
D. Obtain an upright x-ray of the abdomen
E. Measure serum lipid levels
F. Measure stool elastase level","একজন ২১ বছর বয়সী কলেজ ছাত্র ইমার্জেন্সি বিভাগে আসে কারণ দুই-দিনের বমি এবং এপিগ্যাস্ট্রিক ব্যথা রয়েছে যা পিঠের দিকে বিকিরণ করে। তার অতোপিক ডার্মাটাইটিস এবং হাশিমোতো থাইরয়েডিটিস এর ইতিহাস রয়েছে। তার একমাত্র ওষুধ হল লেভোথাইরক্সিন। তিনি কোনো রুটিন টিকাদান পাননি। সপ্তাহান্তে তিনি ১-২ বিয়ার পান করেন এবং মাঝে মাঝে মারিজুয়ানা ধূমপান করেন। রোগী উদ্বিগ্ন দেখাচ্ছেন এবং ঘাম ঝরে যাচ্ছে। তার তাপমাত্রা ৩৭.৯ ডিগ্রি সেলসিয়াস (১০০.৩ ডিগ্রি ফারেনহাইট), পাল্স ১০৫ প্রতি মিনিট, শ্বাসপ্রশ্বাস ১৬ প্রতি মিনিট, এবং রক্তচাপ ১৩০/৭৮ মিমি পারদ। শারীরিক পরীক্ষায় উদর ফাঁপা এবং এপিগ্যাস্ট্রিয়ামে স্পর্শে সংবেদনশীলতা দেখা যায়। কোনো গার্ডিং বা রিবাউন্ড টেনডারনেস নেই। ত্বকের পরীক্ষায় ট্রাঙ্ক এবং অঙ্গের এক্সটেন্সর পৃষ্ঠে বেশ কয়েকটি হলুদ প্ল্যাকের ক্লাস্টার দেখা যায়। হিমোগ্লোবিন ঘনত্ব ১৫.২ গ্রাম প্রতি ডেসিলিটারে এবং সিরাম ক্যালসিয়াম ঘনত্ব ৭.৯ মিলিগ্রাম প্রতি ডেসিলিটারে। নিম্নলিখিতগুলির মধ্যে কোনটি মূল্যায়নের সর্বোত্তম পরবর্তী ধাপ হবে?
A. পাইলোকার্পিন-প্ররোচিত ঘাম পরীক্ষা সম্পাদন করুন
B. সিরাম ট্রেপোনেমা প্যালিডাম আইজিএম টাইটার মাপুন
C. ইসোফাগাস্ট্রোডুওডেনোস্কপি সম্পাদন করুন
D. উচ্চভঙ্গিতে পেটের এক্স-রে গ্রহণ করুন
E. সিরাম লিপিড স্তর মাপুন
F. মল এ্যালাস্টেজ স্তর মাপুন",,,,,
A0008,"A 14-year-old girl is brought to the physician because of a 10-day history of vaginal bleeding. The flow is heavy with the passage of clots. Since menarche 1 year ago, menses have occurred at irregular 26- to 32-day intervals and last 3 to 6 days. Her last menstrual period was 4 weeks ago. She has no history of serious illness and takes no medications. Her temperature is 37.1°C (98.8°F), pulse is 98/min, and blood pressure is 106/70 mm Hg. Pelvic examination shows vaginal bleeding. The remainder of the examination shows no abnormalities. Her hemoglobin is 13.1 g/dL. A urine pregnancy test is negative. Which of the following is the most appropriate next step in management?
A. Tranexamic acid
B. Endometrial ablation
C. Uterine artery embolization
D. Uterine curretage
E. Conjugated estrogen therapy
F. Intrauterine tamponade","১৪ বছর বয়সী একটি মেয়ে ডাক্তারের কাছে আনা হয়েছে কারণ তার ১০ দিনের যোনি রক্তপাতের ইতিহাস রয়েছে। প্রবাহটি ভারী এবং গাঁটের মাধ্যমে রক্তপাত হয়। মেনার্কে এক বছর আগে থেকে, মাসিক অনিয়মিতভাবে ২৬ থেকে ৩২ দিনের অন্তরে ঘটে এবং ৩ থেকে ৬ দিন স্থায়ী হয়। তার সর্বশেষ মাসিক চার সপ্তাহ আগে ছিল। তিনি গুরুতর রোগের কোনো ইতিহাস নেই এবং কোন ওষুধ নেন না। তাপমাত্রা ৩৭.১ ডিগ্রি সেলসিয়াস (৯৮.৮ ডিগ্রি ফারেনহাইট), পাল্স প্রতি মিনিটে ৯৮, এবং রক্তচাপ ১০৬/৭০ মিমি পারদ। পেলভিক পরীক্ষা দেখায় যোনিতে রক্তপাত। পরীক্ষার বাকি অংশে কোনো অস্বাভাবিকতা দেখা যায়নি। তার হিমোগ্লোবিন ১৩.১ গ্রাম প্রতি ডেসিলিটারে। মূত্র গর্ভধারণ পরীক্ষা নেগেটিভ হয়েছে। নিম্নলিখিতগুলির মধ্যে কোনটি ব্যবস্থাপনার সর্বোত্তম পরবর্তী ধাপ?
A. ট্রানেক্সামিক অ্যাসিড
B. এন্ডোমেট্রিয়াল এব্লেশন
C. ইউটেরিন আর্টারি এম্বোলাইজেশন
D. ইউটেরিন কিউরেটেজ
E. কনজুগেটেড ইস্ট্রোজেন থেরাপি
F. ইনট্রাউটেরাইন ট্যাম্পোনেড",,,,,
A0009,"A 67-year-old man comes to the emergency department for the evaluation of two episodes of red urine since this morning. He has no pain with urination. He reports lower back pain and fever. Six months ago, he was diagnosed with osteoarthritis of the right knee that he manages with 1-2 tablets of ibuprofen per day. He has smoked one pack of cigarettes daily for the past 45 years. He does not drink alcohol. His temperature is 38.5°C (101.3°F), pulse is 95/min, and blood pressure is 130/80 mm Hg. Physical examination shows faint, diffuse maculopapular rash, and bilateral flank pain. The remainder of the examination shows no abnormalities. Urinalysis shows:
Blood +3
Protein +1
RBC 10-12/hpf
RBC cast negative
Eosinophils numerous
Which of the following is the most likely diagnosis?""
A. Acute tubulointerstitial nephritis
B. Acute pyelonephritis
C. Acute glomerulonephritis
D. Crystal-induced acute kidney injury
E. Renal cell carcinoma
F. Henoch-Schönlein purpura
G. Acute tubular necrosis","একজন ৬৭ বছর বয়সী পুরুষ এই সকাল থেকে লাল মূত্রের ২টি পর্বের মূল্যায়নের জন্য জরুরি বিভাগে আসেন। মূত্রত্যাগের সময় তার কোনো ব্যথা নেই। তিনি নিম্ন পিঠের ব্যথা এবং জ্বরের কথা জানান। ৬ মাস আগে তাকে ডান হাঁটুর অস্টিওআর্থ্রাইটিস নির্ণয় করা হয়েছিল, যা তিনি দিনে ১-২ ট্যাবলেট ইবুপ্রোফেন দিয়ে নিয়ন্ত্রণ করেন। তিনি গত ৪৫ বছর ধরে প্রতিদিন এক প্যাক সিগারেট ধূমপান করেছেন। তিনি অ্যালকোহল পান করেন না। তার তাপমাত্রা ৩৮.৫ ডিগ্রি সেলসিয়া (১০১.৩ ডিগ্রি ফারেনহাইট), পাল্স ৯৫ প্রতি মিনিট, এবং রক্তচাপ ১৩০/৮০ মিমি পারদ। শারীরিক পরীক্ষায় হালকা, বিস্তৃত ম্যাকুলোপ্যাপুলার দাগ এবং দ্বিপাক্ষিক ফ্ল্যাঙ্ক ব্যথা দেখা যায়। পরীক্ষার বাকি অংশে কোনো অস্বাভাবিকতা পাওয়া যায় না। ইউরিনালাইসিস দেখায়:
রক্ত +৩
প্রোটিন +১
আরবিসি ১০-১২ প্রতি হাই-পাওয়া ফিল্ড
আরবিসি কাস্ট নেগেটিভ
ইওসিনোফিলস প্রচুর
নিম্নলিখিতগুলির মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. তীব্র টিউবুলোইন্টারস্টিশিয়াল নেফ্রাইটিস
B. তীব্র পাইলোনেফ্রাইটিস
C. তীব্র গ্লোমেরুলোনেফ্রাইটিস
D. ক্রিস্টাল-প্ররোচিত তীব্র কিডনি ক্ষতি
E. কিডনি কোষের ক্যারসিনোমা
F. হেনখ-শোনলাইন পুরপুরা
G. তীব্র টিউবুলার নেক্রোসিস",,,,,
A0010,"A previously healthy 48-year-old man comes to the physician because of a 3-week history of progressively worsening jaundice, generalized itching, and epigastric discomfort. He also complains of nausea and loss of appetite. His stools have looked like clay for the past week. He has returned from a vacation in Thailand one week ago, where he got a new tattoo. He is sexually active with multiple partners and does not use protection. His vital signs are within normal limits. Examination shows jaundice and scleral icterus. Superficial excoriations are seen on all limbs. Abdominal examination shows no abnormalities. Serum studies show a fasting glucose level of 198 mg/dL, total bilirubin concentration of 10.6 mg/dL, direct bilirubin concentration of 9.8 mg/dl, and alkaline phosphatase activity of 450 U/L. Abdominal ultrasonography shows dilation of the biliary and pancreatic ducts and a 3-cm hypoechoic solid mass with irregular margins in the head of the pancreas. An elevation of which of the following serum findings is most specific for this patient's condition?
A. Cancer antigen 125
B. Anti-HBc immunoglobulin M
C. Elevated anti-neutrophil cytoplasmic antibodies
D. Cancer antigen 19-9
E. Glucagon
F. Alpha-fetoprotein","একজন পূর্বে সুস্থ ৪৮-বছর বয়সী পুরুষ রোগী প্রগতিশীলভাবে বাড়তে থাকা জন্ডিস, সর্বব্যাপী চুলকানি এবং উপরের পেটের অস্বস্তি সহ ৩-সপ্তাহের ইতিহাস নিয়ে চিকিৎসকের কাছে আসেন। তিনি বমিভাব ও ক্ষুধামন্দার অভিযোগও করেন। তার মল এক সপ্তাহ ধরে মাটি-রঙের দেখাচ্ছিল। তিনি থাইল্যান্ডে ছুটিতে গিয়ে এক সপ্তাহ আগে ফিরে এসেছেন, যেখানে তিনি নতুন ট্যাটু করিয়েছিলেন। তিনি বহু সঙ্গীর সঙ্গে যৌন সক্রিয় এবং সুরক্ষা ব্যবহার করেন না। তার গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে আছে। পরীক্ষায় জন্ডিস ও স্ক্লেরাল আইক্টেরাস দেখা যায়। সকল অঙ্গপ্রত্যঙ্গে পৃষ্ঠীয় ক্ষত দেখা যায়। পেটের পরীক্ষা কোনো অসামান্যতা দেখায় না। সিরাম গবেষণায় উপবাস গ্লুকোজ স্তর ১৯৮ মিলিগ্রাম/ডেসিলিটার, মোট বিলিরুবিন ঘনত্ব ১০.৬ মিলিগ্রাম/ডেসিলিটার, ডাইরেক্ট বিলিরুবিন ঘনত্ব ৯.৮ মিলিগ্রাম/ডেসিলিটার এবং অ্যালকালাইন ফসফাটেজ কার্যকলাপ ৪৫০ ইউনিট/লিটার দেখা গেছে। পেটের আলট্রাসাউন্ডে বাইলারি ও প্যানক্রিয়াটিক নালীর প্রশস্ততা এবং অগ্ন্যাশয়ের মাথায় অনিয়মিত সীমানা সহ ৩-সেমি হাইপোইকোয়িক কঠিন ভর দেখা গেছে। নিম্নলিখিত কোন সিরাম ফলাফলটির বৃদ্ধি এই রোগীর অবস্থার জন্য সবচেয়ে নির্দিষ্ট?
A. ক্যান্সার অ্যান্টিজেন ১২৫
B. অ্যান্টি-এইচবিসি ইমিউনোগ্লোবুলিন এম
C. উচ্চ অ্যান্টি-নিউট্রোফিল সাইটোপ্লাজমিক অ্যান্টিবডি
D. ক্যান্সার অ্যান্টিজেন ১৯-৯
E. গ্লুকাগন
F. আলফা-ফেটোপ্রোটিন",,,,,
