item_id,translator,back_en,seconds
US-00001,gpt-oss:120b,"A 4670 g (10 lb 5 oz) male newborn was delivered full-term in a 26-year-old woman's womb after a long delivery. The Apgar score is 9 in both minutes 1 and 5. Tests in the delivery room revealed swelling, sensitivity, and crepitus in the left clavicle area. Movement of the left upper limb is reduced. Movement of the hands and wrists is normal. Swallowing reflexes are normal in both hands. An asymmetric Moro reflex is present. The rest of the test has no abnormalities, and enteroposterior X-rays confirm the diagnosis. Which of the following is the most appropriate next step in management?
A. Nerve conductivity test
B. Stabilization by Surgery
C. Physical therapy
D. Adding the pin sleeve to the shirt
E. hand splinting
F. MRI of the clavicle",1.25
US-00002,gpt-oss:120b,"A 66-year-old male came to the doctor with a three-month history of fatigue. He has high blood pressure and hyperlipidemia. He had suffered a transient ischemic attack (TIA) three years earlier. He drinks 3 beers a day, and sometimes two more at social events. He is currently receiving aspirin, simvastatin, hydrochlorothiazide, and metoprolol. Its temperature is 37.1 ° C (98.8 ° F), pulse is 78, respiration is 19 per minute, and oxygen saturation in room air is 97%. She shows no discomfort but is clearly pale and has multiple fine red, non-blanching spots on her limbs. His spleen is significantly enlarged in palpation. Test results show a hemoglobin of 8.0 g / dL, a white blood cell count of 80,000 / mm3, and a platelet count of 34,000 / mm3. Blood smears show immature cells with large and conspicuous nucleoli and pink, elongated, needle-like cytoplasmic inclusions. Which of the following is the most likely diagnosis?
A. Cirrhosis
B. Acute lymphoblastic leukemia
C. Chronic myelogenous leukemia
D. Myelodysplastic syndrome
E. Chronic lymphocytic leukemia
F. Acute myelogenous leukemia",1.53
US-00003,gpt-oss:120b,"A 40-year-old male patient came to the doctor with five months of watery diarrhea and periodic abdominal crampy pain. She has no fever, nausea, or vomiting. He has lost 1.8 kg (4 lb) in the past six months, although his appetite has not decreased. His wife has noticed that his mouth and throat sometimes turn red after meals or during times of stress. He was diagnosed with asthma a year ago. He is also suffering from high blood pressure. Current medications include albuterol inhalers and enalapril. He drinks a beer every day. Its temperature is 36.7 ° C (98 ° F), pulse 85 / min, blood pressure 130/85 mmHg mercury. It's clear in the lungs. A grade 2 / 6 systolic murmur is heard at the left sternal border and fourth intercostal space. The abdomen is soft, with light tenderness but no guarding or rebound. The rest of the physical exam shows no abnormalities. The complete blood count is within the normal range. If untreated, this patient will be at the highest risk for which of the following conditions?
A. Breath
B. Achlorhydria
C. T-cell lymphoma
D. Megaloblastic anemia
E. Dementia
F. intestinal fistula
G. Arthritis",1.26
US-00004,gpt-oss:120b,"A 4-year-old boy has been brought to the emergency department because severe abdominal pain and bilious vomiting have been going on for 6 hours. He has not defecated in the last 24 hours. He looks sick. It has a temperature of 37.8 ° C (100 ° F) and a pulse of 122 / min. On examination, the abdomen is swollen. There is pain in the palpation of the lower abdomen; guarding and rebound tenderness are seen. The noise has gone down. An abdominal X-ray shows a hollow intestinal loop. He has a 14-year-old brother. The surgeon recommended an emergency laparotomy. The parents have gone to a friend's house and can't be reached. Which of the following is the most appropriate next step in management?
A. Get consent from the patient's brother
B. Get the patient's consent
C. Collect court orders for surgery
D. Set up a hospital ethics consultation
E. Perform an emergency laparotomy
F. Delay surgery until parental consent is obtained.",1.19
US-00005,gpt-oss:120b,"A 9-year-old girl was brought to the emergency department, experiencing headaches and double vision an hour after being struck. He was playing with his friend; the friend's elbow struck him just above his left ear and hit his head. He did not lose consciousness, but the mother reported that he was disoriented for 20 minutes after the incident and could not recall being pushed. The patient is recovering well. He is alert and aware of persons, places, and times. His temperature is 37.2 ° C (99 ° F), pulse 86 / min, respiration 15 / min, and blood pressure 118/78 mmHg. Examination shows the head tilted towards the right shoulder. A photo of the eye is shown on the primary gauge. Mild pain is felt by applying gentle pressure on the left temporal bone. Visual acuity 20/20 in both eyes when tested individually. Hypertropia of the patient's left eye increases when looking to the right and when the patient tilts their head to the left shoulder. The pupillae are uniform and reactive to light. Muscle strength and sensation are normal on both sides. The deep tendon reflex is 2 + on both sides, the plantar reflex responds to flexion. Which of the following is the most likely cause of the patient's eye symptoms?
A. Damage to the oculomotor nerve
B. Retrobalbar bleeding
C. Damage to the trochlear nerve
D. Damage to the medial longitudinal fasciculus
E. Dorsal midbrain damage
F. Abdusane nerve damage",1.49
US-00006,gpt-oss:120b,"A mother takes her 3-year-old son to the pediatrician because he is showing persistent tantrums (excessive anger). The child has no history of serious disease and is on track for developmental milestones. Her mother went back to work two weeks ago. Since then, he said, the boy has done a tantrum almost every other morning, usually when he dresses him up or drops him off at daycare. She cries loudly for about 5 minutes and says she doesn't want to go to the daycare, moving her hands and feet with it. According to the daycare staff, he behaves well throughout the day. In the evenings, there are tantrums about twice a week, usually when he has to finish his meals or say bedtime. These tantrums have been going on for about 6 months. The mother is concerned that her son may have a behavioral disorder. Which of the following is the most likely cause of a child's behavior?
A. Autism spectrum disorder
B. Conduct disorder
C. Normal development
D. Oppositional Defiant Disorder
E. Attention deficit hyperactivity disorder
F. Disruptive mood dysregulation disorder",1.37
US-00007,gpt-oss:120b,"A 45-year-old male patient came to the doctor with severe left knee pain and swelling. He has hypercholesterolemia and high blood pressure. He is currently receiving pravastatin and captopril. He eats a low-fat diet consisting of fish and leafy vegetables. He drinks 4 to 6 cups of coffee every day. He has been smoking a pack of cigarettes a day for 26 years and drinks 2-3 beers a day. Its vital indicators are within normal limits. Examination of the left knee shows swelling, warmth, and acute sensitivity to touch. Arthrocentesis is performed. Gram stain is negative. Monosodium urate crystals are found in synovial fluid. Which of the following health maintenance recommendations is best suited to prevent the recurrence of symptoms?
A. turn off captopril
B. Start the aspirin.
C. replace beer with red wine
D. Quit smoking
E. Reduce your coffee intake
F. Reduce the amount of fish
G. Stop Provastatin
H. start colchicine",1.11
US-00008,gpt-oss:120b,"A previously healthy 32-year-old man is brought to the emergency department by his girlfriend, because he has had a seizure (epilepsy). On the same day, he experienced a nosebleed, which took 30 minutes to stop by applying pressure. He has no history of exposure to any patients or epilepsy or any other seizure disorder. He is not taking any medication. Its temperature is 39.1 ° C (102.4 ° F), pulse 106 / min, respiration 26 / min, blood pressure 128/70 mmHg. He is confused and disoriented. Examination shows pallor and diffuse petechiae on the trunk and arms. The throat is soft, and neurological examination is otherwise within normal limits. Laboratory results: hemoglobin 9 g / dL; white blood cell count 8,200 / mm3; platelet count 34,000 / mm3; prothrombin time 13 seconds; partial thromboplastin time 30 seconds; fibrin split product negative; serum creatinine 2.9 mg / dL; bilirubin total 3.2 mg / dL, direct 0.4 mg / dL; lactate dehydrogenase 559 U / L. Peripheral blood smears show a lot of schistocytes. Which of the following is the best next step in management?
A. Electroencephalography
B. Packed red blood cell transfusion
C. CT scan of the head
D. Plasma exchange therapy
E. Fresh frozen plasma (FFP) transfusions
F. MRI scan of the head
G. Platelet transfusion
H. Intravenous tranexamic acid",3.65
US-00009,gpt-oss:120b,"A 67-year-old male came to the emergency department with two cases of red urine since this morning. There is no pain in urination. He complained of lower back pain and fever. He was diagnosed with right knee osteoarthritis six months ago and took 1 to 2 tablets of ibuprofen a day. He smoked a pack of cigarettes every day for the past 45 years. Don't drink alcohol. He has a temperature of 38.5 ° C, a pulse of 95 / min, and a blood pressure 130/80 mm Hg. Physical examination shows mild, diffuse maculopapular scarring and pain in the flank on both sides. The rest of the tests are normal. Urine analysis shows: Blood + 3 Protein + 1 RBC 10-12 hpf RBC Cast Negative high levels of eosinophils Which of the following is the most likely diagnosis?
A. Acute tubulointerstitial nephritis
B. Acute pyelonephritis
C. Acute glomerulonephritis
D. Crystal-induced acute kidney injury
E. Carcinomas of kidney cells
F. Hench-Schonline Puerpura
G. Acute tubular necrosis",1.31
US-00010,gpt-oss:120b,"A 50-year-old male patient came to the doctor with complaints of problems due to erectile dysfunction during sexual intercourse over a 6-month period. He has type 2 diabetes mellitus which is well controlled with metformin. He doesn't smoke. He drinks 5 to 6 beers every day. His vital signs are within normal limits. Physical examination shows bilateral leg swelling, decreased testis volume, and increased breast tissue. The spleen is palpable 2 cm below the left costal margin. Abdominal ultrasound shows atrophic, hyperechoic, nodular liver. An upper endoscopy is performed and the distal esophagus shows dilated submucosal veins of 2 mm diameter and red spots on their surface. He began therapy with sildenafil for erectile dysfunction. Which of the following is the most appropriate next step in the management of the patient's esophageal findings?
A. Injection sclerotherapy
B. Nadolol therapy
C. Losaratan therapy
D. octreotide therapy
E. Isosorbide mononitrate therapy
F. Endoscopic band ligation
G. Transjugular intrahepatic portosystemic shunt
H. Metoprolol therapy",1.45
