row_id,item_id,translator,part
R0001,US-00353,gpt-oss:120b,random
R0002,US-00200,gpt-oss:120b,targeted_disagree
R0003,US-00228,gpt-oss:120b,random
R0004,US-00148,gpt-oss:120b,targeted_disagree
R0005,US-00438,gpt-oss:120b,random
R0006,US-00411,gpt-oss:120b,random
R0007,US-00193,gpt-oss:120b,random
R0008,US-00232,gpt-oss:120b,random
R0009,US-00279,gpt-oss:120b,random
R0010,US-00001,gpt-oss:120b,random
R0011,US-00067,gpt-oss:120b,random
R0012,US-00234,gpt-oss:120b,targeted_worst
R0013,US-00336,gpt-oss:120b,random
R0014,US-00246,gpt-oss:120b,random
R0015,US-00189,gpt-oss:120b,targeted_worst
R0016,US-00211,gpt-oss:120b,targeted_worst
R0017,US-00012,gpt-oss:120b,random
R0018,US-00407,gpt-oss:120b,random
R0019,US-00444,gpt-oss:120b,random
R0020,US-00176,gpt-oss:120b,random
R0021,US-00092,gpt-oss:120b,targeted_worst
R0022,US-00409,gpt-oss:120b,random
R0023,US-00034,gpt-oss:120b,random
R0024,US-00032,gpt-oss:120b,random
R0025,US-00163,gpt-oss:120b,targeted_disagree
R0026,US-00066,gpt-oss:120b,targeted_worst
R0027,US-00174,gpt-oss:120b,random
R0028,US-00181,gpt-oss:120b,random
R0029,US-00427,gpt-oss:120b,random
R0030,US-00359,gpt-oss:120b,targeted_disagree
R0031,US-00183,gpt-oss:120b,random
R0032,US-00324,gpt-oss:120b,random
R0033,US-00354,gpt-oss:120b,random
R0034,US-00210,gpt-oss:120b,random
R0035,US-00055,gpt-oss:120b,targeted_worst
R0036,US-00249,gpt-oss:120b,random
R0037,US-00040,gpt-oss:120b,random
R0038,US-00192,gpt-oss:120b,targeted_disagree
R0039,US-00141,gpt-oss:120b,random
R0040,US-00253,gpt-oss:120b,targeted_worst
R0041,US-00011,gpt-oss:120b,targeted_worst
R0042,US-00422,gpt-oss:120b,random
R0043,US-00105,gpt-oss:120b,random
R0044,US-00485,gpt-oss:120b,random
R0045,US-00448,gpt-oss:120b,targeted_worst
R0046,US-00392,gpt-oss:120b,random
R0047,US-00047,gpt-oss:120b,random
R0048,US-00424,gpt-oss:120b,random
R0049,US-00070,gpt-oss:120b,random
R0050,US-00043,gpt-oss:120b,random
R0051,US-00450,gpt-oss:120b,random
R0052,US-00248,gpt-oss:120b,random
R0053,US-00488,gpt-oss:120b,random
R0054,US-00194,gpt-oss:120b,random
R0055,US-00317,gpt-oss:120b,random
R0056,US-00462,gpt-oss:120b,random
R0057,US-00242,gpt-oss:120b,targeted_worst
R0058,US-00214,gpt-oss:120b,targeted_disagree
R0059,US-00456,gpt-oss:120b,random
R0060,US-00321,gpt-oss:120b,random
R0061,US-00281,gpt-oss:120b,random
R0062,US-00440,gpt-oss:120b,random
R0063,US-00271,gpt-oss:120b,targeted_worst
R0064,US-00036,gpt-oss:120b,targeted_disagree
R0065,US-00173,gpt-oss:120b,random
