item_id,translator,back_en,seconds,n_chunks,retry,len_ratio
US-00001,gpt-oss:120b,"The 4670-gram (10-pound 5-ounce) male neonate Terme delivered after prolonged labor to a 26-year-old female. The Apgar score is 9 and 9 at both 1 and 5 minutes. Delivery room tests show swelling, sensitivity, and cryptis above the left clavicle. The left upper limb has slowed down. Movement of the hands and wrists is normal. Grass reflex is normal in both hands. An asymmetric Moro reflex is present. The rest of the test shows no abnormalities, and an anteroposterior X-ray confirms the diagnosis. Which of the following is the most appropriate next step in management?
A. Nerve conductivity test
B. Surgical fixation
C. Physical therapy
D. Pin Sleeve on Shirt
E. arm splinting
F. MRI of the clavicle",0.95,9,0,0.939
US-00002,gpt-oss:120b,"A 66-year-old male brought a 3-month history of fatigue to the doctor. He has high blood pressure and hyperlipidemia. He suffered a transient ischemic attack 3 years ago. He drinks 3 beers a day, and sometimes 2 more at social events. He is currently receiving aspirin, simvastatin, hydrochlorothiazide, and metoprolol. Its temperature is 37.1 ° C (98.8 ° F), pulse is 78, respiration is 19 per minute, and oxygen saturation in room air is 97%. He is in no discomfort but looks distinctly pale and has a series of needle-like small, red, non-blanching spots on his limbs. His spleen is remarkably large to the touch. Laboratory results show hemoglobin at 8.0 grams per deciliter, leukocyte count at 80,000 / cubic মি.লি., and platelet count at 34,000 / cubic মি.লি. A blood smear shows immature cells with large, clear nucleoli and pink, elongated, needle-shaped cytoplasmic inclusions. Which of the following is the most likely diagnosis?
A. Cirrhosis
B. Acute lymphoblastic leukemia
C. Chronic myelogenous leukemia
D. Myelodysplastic syndrome
E. Chronic lymphocytic leukemia
F. Acute myelogenous leukemia",1.41,11,0,1.041
US-00003,gpt-oss:120b,"A 40-year-old male approached the patient as he has been experiencing watery diarrhea and periodic abdominal crampy pain for the past 5-months. She has no fever, nausea, or vomiting. In the last 6 months, he has lost 1.8-কেজি (4-lb) weight, although there is no loss of appetite. His wife has noticed that sometimes his face and throat turn red after meals or during times of stress. He had been diagnosed with asthma a year earlier. He is suffering from high blood pressure. Current medications include albuterol inhalers and enalapril. He drinks a beer every day. He has a temperature of 36.7 ° C (98 ° F), a pulse of 85 / min, and a blood pressure 130/85 mmHg of mercury. The respiratory system sounds clear. The grade 2 / 6 systolic murmur is best heard in the left sternal border and fourth intercostal space. The abdomen is soft, there is light palpation, no guarding or rebound. The rest of the body exam shows no abnormalities. The complete blood count is within the reference range. If left untreated, this patient will be at the highest risk of any of the following conditions?
A. Asphyxia
B. Achlorhydria
C. T-cell lymphoma
D. Megaloblastic anemia
E. Dementia
F. Intestinal fistula
G. Arthritis",1.48,15,0,1.027
US-00004,gpt-oss:120b,"A 4-year-old boy has been brought to the emergency department because of severe abdominal pain and bilious vomiting that has been occurring for 6 hours. He has not had any bowel movements in the last 24 hours. He looks sick. It has a temperature of 37.8 ° C (100 ° F) and a pulse of 122 beats per minute. On examination, a swollen abdomen is seen. There is sensitivity to touch in the lower abdomen; protective contractions and reflex sensitivity are present. The sound of the bowels has decreased. An abdominal X-ray shows a distended bowel. He has a 14-year-old brother with him. The surgeon recommended an emergency laparotomy. The parents have gone to a friend's house and are not reachable. Which of the following would be the best next step for management?
A. Get consent from the patient's brother
B. Obtain consent from the patient.
C. Get a court order for surgery.
D. Set the hospital's ethical advice.
E. Perform an emergency laparotomy
F. Delay surgery until parental consent is obtained.",1.53,12,0,1.082
US-00005,gpt-oss:120b,"A 9-year-old girl was brought to the emergency department with a headache and double vision, an hour after being hit in the head while she was playing with a friend. His friend's elbow struck his head, just above the left ear. She did not lose consciousness, but her mother reported that she was disoriented for 20 minutes after the incident and could not recall the injury. She looks healthy. He is alert and aware of persons, places, and times. Its temperature is 37.2 ° C (99 ° F), pulse is 86 / min, respiration is 15 / min, and blood pressure is 118/78 mmHg. On examination, the head is tilted towards the right shoulder. A photo of the eye is shown in the initial view. There is slight sensitivity to touch in the left temporal bone. Impairment of vision in both eyes when examined individually 20/20. Hypertropia of the patient's left eye increases when looking to the right and when the patient tilts their head to the left shoulder. The pupillae are equal and reactive to light. Muscle strength and sensation are intact on both sides. Deep tendon reflex 2 + on both sides. The plantar reflex responds to flexure. Which of the following is the most likely cause of this patient's eye symptoms?
A. Oculomotor nerve damage
B. Retrobalbar hemorrhage
C. Trochlear nerve damage
D. Medial longitudinal fasciculus damage
E. Dorsal midbrain damage
F. abducens nerve damage",1.66,16,0,1.025
US-00006,gpt-oss:120b,"A mother takes her 3-year-old son to the pediatrician because he is doing tantrums. The boy has no history of serious disease and is on track for developmental milestones. Her mother recently went back to work 2 weeks ago. She explains that since then, her son does a tantrum almost every other morning, usually when she dresses him up or drops him off at daycare. She cries loudly for about 5 minutes, says she doesn't want to go to the daycare and moves her arms and legs. According to the daycare staff, she behaves well throughout the day. In the evenings, he does tantrums twice a week, usually when he is told he has to finish his meals or it is time to go to bed. These tantrums have been happening for about 6 months. The mother is concerned that her son may have a behavioral disorder. Which of the following is the most likely cause of the boy's behavior?
A. Autism spectrum disorder
B. Conduct disorder
C. Normal development
D. Oppositional Defiant Disorder
E. Attention deficit hyperactivity disorder
F. Disruptive mood dysregulation disorder",1.08,10,0,0.975
US-00007,gpt-oss:120b,"A 45-year-old male patient came to the doctor with severe left knee pain and swelling. He has hypercholesterolemia and high blood pressure. Current medications include pravastatin and captopril. He adopts a low-fat diet consisting of fish and leafy greens. He drinks 4 to 6 cups of coffee every day. He has smoked a pack of cigarettes daily for 26 years and drinks 2 - 3 beers a day. Life expectancy is within normal limits. Examination of the left knee shows swelling, warmth, and severe sensitivity to touch. Arthrocentesis is performed. Gram stain is negative. Monosodium urate crystals can be seen in synovial fluid analysis. Which of the following health maintenance recommendations is best suited to prevent the recurrence of symptoms?
A. turn off captopril
B. Start the aspirin.
C. replace beer with red wine
D. Quit smoking
E. Reduce your coffee intake
F. Reduce the intake of fish
G. Stop Provastatin
H. start colchicine",0.81,12,0,1.016
US-00008,gpt-oss:120b,"A previously healthy 32-year-old man is brought to the emergency department by his girlfriend following a seizure. Earlier that day, he experienced a nosebleed that took 30 minutes to stop with pressure. He has no history of exposure or epilepsy or any other seizure disorder. He is not taking any medication. He has a temperature of 39.1 ° C (102.4 ° F), a pulse of 106 beats per minute, a respiratory rate of 26 beats per minute, and a blood pressure of 128/70 mmHg. He is confused and disoriented. Examination shows pale coloration and diffuse petechiae on the trunk and arms. The throat is soft, and neurological examination is within the otherwise normal range. Laboratory tests show that: Hemoglobin 9 grams per deciliter Leukocyte count 8,200 per cubic mm Platelet count 34,000 per cubic mm Prothrombin time is 13 seconds Partial thromboplastin time 30 seconds Fibrin Split Product Negative Serum: Creatinine 2.9 mg per deciliter Bilirubin total of 3.2 mg per deciliter Bilirubin directly 0. 4 milligram per deciliter Lactate dehydrogenase 559 units per liter A lateral blood smear shows a large number of schistocytes. Which of the following would be the most appropriate next step in management?
A. Electroencephalography
B. Packed red blood cell transfusion
C. CT scan of the head
D. Plasma exchange therapy
E. Fresh Frozen Plasma Transfusion
F. MRI scan of the head
G. Platelet transfusion
H. Tranexamic acid in the veins",1.85,22,0,1.108
US-00009,gpt-oss:120b,"A 67-year-old male came to the emergency department this morning to be evaluated for 2 episodes of red urine. He has no pain during urination. He reported lower back pain and fever. He was diagnosed with right knee osteoarthritis 6 months ago, which he manages with 1 - 2 tablets of ibuprofen a day. He has smoked a pack of cigarettes every day for the past 45 years. He doesn't drink alcohol. It has a temperature of 38.5 ° C (101.3 ° F), a pulse of 95 per minute, and a blood pressure of 130/80 mmHg. Physical examination reveals mild, diffuse maculopapular scarring and bilateral flank pain. No abnormalities are found in the rest of the test. Urinalysis shows: Blood + 3 Protein + 1 High-flying field per RBC 10-12 RBC Cast Negative Eosinophils are abundant Which of the following is the most likely diagnosis?
A. Acute tubulointerstitial nephritis
B. Acute pyelonephritis
C. Acute glomerulonephritis
D. Crystal-induced acute kidney damage
E. Carcinoma of the kidney cells
F. Henkh-Shonline Purpura
G. Acute tubular necrosis",1.3,16,0,1.034
US-00010,gpt-oss:120b,"The 50-year-old male patient came to the doctor with a history of difficulty having sex due to 6-month erectile dysfunction. His type 2 diabetes mellitus is well controlled with metformin. He doesn't smoke. He drinks 5 to 6 beers every day. Signs of his life are within normal limits. Physical examination shows bilateral leg swelling, decreased testicular volume, and increased breast tissue. The ribs are palpable 2 cm below the left costal margin. Abdominal ultrasound shows atrophic, hyperechoic, nodular liver. Upper endoscopy shows submucosal veins 2 millimeters in diameter with red spots on the surface in the distal esophagus. He began therapy with sildenafil for erectile dysfunction. Which of the following is the most appropriate next step in the management of oesophagus changes in this patient?
A. Injection sclerotherapy
B. Nadolol therapy
C. Losaratan therapy
D. octreotide therapy
E. Isosorbide mononitrate therapy
F. Endoscopic band ligation
G. Transjugular intrahepatic portosystemic shunt
H. Metoprolol therapy",1.25,11,0,0.955
