row_id,src_en,hyp_bn,tier,fluency,acceptable,tags,note
R0001,"A 65-year-old woman with COPD comes to the emergency department with 2-day history of worsening shortness of breath and cough. She often has a mild productive cough, but she noticed that her sputum is more yellow than usual. She has not had any recent fevers, chills, sore throat, or a runny nose. Her only medication is a salmeterol inhaler that she uses twice daily. Her temperature is 36.7°C (98°F), pulse is 104/min, blood pressure is 134/73 mm Hg, respiratory rate is 22/min, and oxygen saturation is 85%. She appears uncomfortable and shows labored breathing. Lung auscultation reveals coarse bibasilar inspiratory crackles. A plain film of the chest shows mild hyperinflation and flattening of the diaphragm but no consolidation. She is started on supplemental oxygen via nasal cannula. Which of the following is the most appropriate initial pharmacotherapy?
A. Roflumilast and prednisone
B. Albuterol and montelukast
C. Prednisone and salmeterol
D. Albuterol and theophylline
E. Prednisone and albuterol
F. Prednisone and tiotropium","৬৫ বছর বয়সী COPD রোগী নারী জরুরি বিভাগে দুই দিনের শ্বাসকষ্ট ও কাশের বৃদ্ধি নিয়ে আসেন। তিনি সাধারণত হালকা উৎপাদনশীল কাশি করেন, তবে এখন তার কফি বেশি হলুদ রঙের হয়েছে। সাম্প্রতিক কোনো জ্বর, কম্পন, গলা ব্যথা বা নাক দিয়ে পানি পড়া নেই। তাঁর একমাত্র ওষুধ হলো স্যালমেটারল ইনহেলার যা তিনি দিনে দুবার ব্যবহার করেন। তাপমাত্রা ৩৬.৭°C (৯৮°F), পালস ১০৪/মিনিট, রক্তচাপ ১৩৪/৭৩ mm Hg, শ্বাসের হার ২২/মিনিট, এবং অক্সিজেন স্যাচুরেশন ৮৫%। তিনি অস্বস্তিকর দেখায় ও শ্রমসাধ্য শ্বাস নিচ্ছেন। ফুসফুসে কুঁচকানো বেসিলার ইনস্পিরেটরি ক্র্যাকল শোনা যায়। চেস্টের প্লেইন রেডিওগ্রাফিতে হালকা হাইপারইনফ্লেশন এবং ডায়াফ্রাম সমতল দেখা যায়, তবে কোনো সংহতি নেই। তাকে নাসিকানাল ক্যানুলা দিয়ে সম্পূরক অক্সিজেন দেওয়া হয়। নিম্নের কোনটি সবচেয়ে উপযুক্ত প্রাথমিক ফার্মাকোথেরাপি?
A. রোফ্লুমিলাস্ট এবং প্রেডনিসোন
B. আলবিউটেরল এবং মন্টেলুকাস্ট
C. প্রেডনিসোন এবং স্যালমেটারল
D. আলবিউটেরল এবং থিওফাইলিন
E. প্রেডনিসোন এবং আলবিউটেরল
F. প্রেডনিসোন এবং টায়োট্রোপিয়াম",,,,,
R0002,"A 28-year-old woman comes to the emergency department for a 1-week history of jaundice and nausea. She recalls eating some seafood last weekend at a cookout. She lives at home with her 2-year-old son who attends a daycare center. The child's immunizations are up-to-date. The woman's temperature is 37.5°C (99.5°F), pulse is 82/min, and blood pressure is 134/84 mm Hg. Examination shows scleral icterus. The liver is palpated 2-cm below the right costal margin and is tender. Her serum studies show:
Total bilirubin 3.4 mg/dL
Alkaline phosphatase 89 U/L
AST 185 U/L
ALT 723 U/L
Hepatitis A IgM antibody positive
Hepatitis B surface antibody positive
Hepatitis B surface antigen negative
Hepatitis B core IgM antibody negative
Hepatitis C antibody negative
Which of the following health maintenance recommendations is most appropriate for the child at this time?""
A. Administer hepatitis B vaccine only
B. Administer hepatitis B immunoglobulin and hepatitis B vaccine
C. Administer hepatitis A immunoglobulin only
D. Isolate the child
E. No additional steps are needed
F. Administer hepatitis A vaccine only
G. Administer hepatitis B immunoglobulin only
H. Administer hepatitis A vaccine and hepatitis A immunoglobulin","একজন ২৮ বছর বয়সী নারী জরুরি বিভাগে এক সপ্তাহের পিলিয়ার এবং বমিভাবের ইতিহাস নিয়ে আসেন। তিনি গত সপ্তাহান্তে একটি কুকআউটে কিছু সি-ফুড খাওয়ার কথা স্মরণ করেন। তিনি তার দুই বছরের ছেলেটির সঙ্গে বাড়িতে থাকেন, যে ডে-কেয়ার কেন্দ্রে যায়। শিশুর টিকাদান আপডেটেড আছে। নারীর তাপমাত্রা ৩৭.৫°C (৯৯.৫°F), পালস ৮২/মিনিট, এবং রক্তচাপ ১৩৪/৮৪ mm Hg। পরীক্ষায় স্ক্লেরাল ইক্টেরাস দেখা যায়। লিভার ডান দিকের কস্টাল মার্জিন থেকে ২ সেমি নিচে স্পর্শযোগ্য ও সংবেদনশীল। তার সিরাম স্টাডিজ দেখায়:
মোট বিলিরুবিন ৩.৪ mg/dL
অ্যালকালাইন ফসফাটেস ৮৯ U/L
AST ১৮৫ U/L
ALT ৭২৩ U/L
হেপাটাইটিস A IgM অ্যান্টিবডি পজিটিভ
হেপাটাইটিস B সারফেস অ্যান্টিবডি পজিটিভ
হেপাটাইটিস B সারফেস অ্যান্টিজেন নেগেটিভ
হেপাটাইটিস B কোর IgM অ্যান্টিবডি নেগেটিভ
হেপাটাইটিস C অ্যান্টিবডি নেগেটিভ
এই সময়ে শিশুর জন্য কোন স্বাস্থ্য রক্ষণাবেক্ষণ সুপারিশটি সবচেয়ে উপযুক্ত?
A. কেবল হেপাটাইটিস B টিকাদান দিন
B. হেপাটাইটিস B ইমিউনোগ্লোবুলিন এবং হেপাটাইটিস B টিকাদান উভয়ই দিন
C. কেবল হেপাটাইটিস A ইমিউনোগ্লোবুলিন দিন
D. শিশুকে আলাদা করুন
E. অতিরিক্ত কোনো পদক্ষেপের প্রয়োজন নেই
F. কেবল হেপাটাইটিস A টিকাদান দিন
G. কেবল হেপাটাইটিস B ইমিউনোগ্লোবুলিন দিন
H. হেপাটাইটিস A টিকাদান এবং হেপাটাইটিস A ইমিউনোগ্লোবুলিন উভয়ই দিন",,,,,
R0003,"A 63-year-old woman is brought to the emergency department 1 hour after the onset of right-sided weakness. She was eating breakfast when suddenly she could not lift her spoon. She cried out to her husband but her speech was slurred. For the past 4 months, she has been more anxious than usual and felt fatigued. She used to exercise regularly but had to give up her exercise routine 3 months ago because of lightheadedness and shortness of breath with exertion. She has a history of hypertension. She is a tax accountant and has had increased stress at work recently. She takes lisinopril daily and alprazolam as needed. Her temperature is 37.2°C (99.0°F), pulse is 138/min, respirations are 14/min, and blood pressure is 146/86 mm Hg. Her lungs are clear to auscultation bilaterally and she has an S1 with variable intensity. On neurologic examination, she has a right facial droop and 2/5 strength in the right shoulder, elbow, wrist, and fingers. Sensation is diminished in the right face and arm. Further evaluation is most likely to show which of the following?
A. Irregularly irregular rhythm without P waves on ECG
B. Yellow cerebrospinal fluid on lumbar puncture
C. Enhancing periventricular lesions on brain MRI
D. Left-sided carotid stenosis on duplex ultrasound
E. Crescent-shaped hyperdense lesion on head CT
F. Ring-enhancing lesion on brain MRI
G. Intraparenchymal hyperdensity on head CT
H. Biconvex hyperdense lesion on head CT
I. Spikes and sharp waves in temporal region on EEG
""","৬৩ বছর বয়সী এক নারীকে জরুরি বিভাগে ডাকা হয় ডান দিকের দুর্বলতা শুরু হওয়ার এক ঘণ্টা পর। তিনি নাস্তা করছিলেন, হঠাৎ করে চামচ তুলতে পারলেন না এবং স্বামীকে ডাকলেও তার কথা গলায় আটকে গেল। গত ৪ মাস ধরে তিনি সাধারণের চেয়ে বেশি উদ্বিগ্ন ও ক্লান্তি অনুভব করছেন। আগে নিয়মিত ব্যায়াম করতেন, তবে তিন মাস আগে হালকা মাথা ঘোরা ও শারীরিক পরিশ্রমে শ্বাসকষ্টের কারণে তা বন্ধ করতে হয়েছিল। তার রক্তচাপের ইতিহাস আছে। তিনি একজন ট্যাক্স অ্যাকাউন্ট্যান্ট এবং সম্প্রতি কাজে বাড়তি চাপের মুখে আছেন। তিনি দৈনিক লিসিনোপ্রিল এবং প্রয়োজনে আল্প্রাজোলাম গ্রহণ করেন। তাপমাত্রা ৩৭.২°C (৯৯.০°F), পালস ১৩৮/মিনিট, শ্বাস ১৪/মিনিট, রক্তচাপ ১৪৬/৮৬ mm Hg। দু'পাশের ফুসফুস পরিষ্কার এবং S1 এর তীব্রতা পরিবর্তনশীল। স্নায়ু পরীক্ষা দেখায় ডান মুখে ঝুলে থাকা ও ডান কাঁধ, কোহনি, কব্জি ও আঙুলে ২/৫ শক্তি। ডান মুখ ও বাহুর সংবেদন কমে আছে। আরও মূল্যায়নে নিম্নলিখিত কোনটি সবচেয়ে সম্ভাব্যভাবে দেখা যাবে?
A. ইসিজিতে পি-ওয়েভ ছাড়া অনিয়মিত-অনিয়মিত রিদম
B. লাম্বার পাংচার থেকে হলুদ সিএসএফ পাওয়া যায়
C. মস্তিষ্কের এমআরআইতে পারিভেন্ট্রিকুলার ক্ষতগুলো এনহ্যান্সিং দেখা যায়
D. ডুপ্লেক্স আল্ট্রাসাউন্ডে বাম দিকের ক্যারোটিড স্টেনোসিস
E. হেড সিটিতে ক্রেসেন্ট-আকৃতির হাইপারডেন্স লেশন
F. মস্তিষ্কের এমআরআইতে রিং-এনহ্যান্সিং লেশন
G. হেড সিটিতে ইনট্রাপ্যারেঞ্চিমাল হাইপারডেনসিটি
H. হেড সিটিতে বিকনভেক্স হাইপারডেন্স লেশন
I. ইইজি তে টেম্পোরাল অঞ্চলে স্পাইক ও শার্প ওয়েভ দেখা যায়",,,,,
R0004,"A 28-year-old research assistant is brought to the emergency department for severe chemical burns 30 minutes after accidentally spilling hydrochloric acid on himself. The burns cover both hands and forearms. His temperature is 37°C (98.6°F), pulse is 112/min, respirations are 20/min, and blood pressure is 108/82 mm Hg. Initial stabilization and resuscitation is begun, including respiratory support, fluid resuscitation, and cardiovascular stabilization. The burned skin is irrigated with saline water to remove the chemical agent. Which of the following is the most appropriate method to verify adequate fluid infusion in this patient?
A. Heart rate
B. The Parkland formula
C. The Holliday-Segar formula
D. Blood pressure
E. Pulmonary capillary wedge pressure
F. Central venous pressure
G. Urinary output
""","একজন ২৮ বছর বয়সী গবেষণা সহকারী দুর্ঘটনাবশত হাইড্রোক্লোরিক অ্যাসিড নিজের ওপর ছিটিয়ে নেওয়ার ৩০ মিনিট পরই তীব্র রাসায়নিক পুড়ে যাওয়ার জন্য জরুরি বিভাগে আনা হয়। পোড়া উভয় হাত ও কনুই পর্যন্ত বিস্তৃত। তার শারীরিক তাপমাত্রা ৩৭°C (৯৮.৬°F), পালস ১১২/মিনিট, শ্বাসপ্রশ্বাস ২০/মিনিট এবং রক্তচাপ ১০৮/৮২ mm Hg। প্রাথমিক স্থিতিশীলতা ও পুনরুজ্জীবন শুরু করা হয়েছে, যার মধ্যে শ্বাসযন্ত্রের সহায়তা, তরল পুনরুজ্জীবন এবং হৃদ্‌যন্ত্রের স্থিতিশীলতা অন্তর্ভুক্ত। পোড়া ত্বককে লবণাক্ত পানিতে ধুয়ে রাসায়নিক এজেন্টটি সরানো হয়। নিম্নলিখিতগুলির মধ্যে কোনটি রোগীর পর্যাপ্ত তরল সঞ্চালন নিশ্চিত করার সর্বোত্তম পদ্ধতি?
A. হৃদস্পন্দনের হার
B. পার্কল্যান্ড সূত্র
C. হলি-ডে-সেগার সূত্র
D. রক্তচাপ
E. ফুসফুসের ক্যাপিলারি উইজ চাপ
F. কেন্দ্রীয় শিরা চাপ
G. মূত্র নিঃসরণ",,,,,
R0005,"A 30-year-old woman comes to the physician because of increased urinary frequency over the past month. She also reports having dry mouth and feeling thirsty all the time despite drinking several liters of water per day. She has not had any weight changes and her appetite is normal. She has a history of obsessive compulsive disorder treated with citalopram. She drinks 1-2 cans of beer per day. Her vital signs are within normal limits. Physical examination shows no abnormalities. Laboratory studies show:
Serum
Na+ 130 mEq/L
Glucose 110 mg/dL
Osmolality 265 mOsmol/kg
Urine
Osmolality 230 mOsmol/kg
The patient is asked to stop drinking water for 3 hours. Following water restriction, urine osmolality is measured every hour, whereas serum osmolality is measured every 2 hours. Repeated laboratory measurements show a serum osmolality of 280 mOsmol/kg and a urine osmolality of 650 mOsmol/kg. Which of the following is the most likely diagnosis?""
A. Cerebral salt wasting
B. Central diabetes insipidus
C. Urinary tract infection
D. Syndrome of inappropriate ADH secretion
E. Diabetes mellitus
F. Beer potomania
G. Primary polydipsia
H. Nephrogenic diabetes insipidus","একজন ৩০ বছর বয়সী নারী গত এক মাসে বাড়তি মূত্রত্যাগের কারণে ডাক্তারের কাছে আসছেন। তিনি অতিরিক্ত মুখ শুকিয়ে যাওয়া এবং দিনে কয়েক লিটার পানি পান করেও সব সময় তৃষ্ণা অনুভব করার কথা জানান। ওজন পরিবর্তন হয়নি এবং ক্ষুধা স্বাভাবিক। তার অশান্তি-আকাঙ্ক্ষা ব্যাধির ইতিহাস আছে, যা সিটালোপ্রাম দিয়ে চিকিৎসা করা হয়েছে। তিনি দিনে ১-২ ক্যান বিয়ার পান করেন। তাঁর গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে। শারীরিক পরীক্ষায় কোনো অসঙ্গতি দেখা যায় না। ল্যাবরেটরি ফলাফল:
সিরাম
Na+ 130 mEq/L
গ্লুকোজ 110 mg/dL
অসমোলালিটি 265 mOsmol/kg
মূত্র
অসমোলালিটি 230 mOsmol/kg
রোগীকে ৩ ঘণ্টা পানি না পান করতে বলা হয়। জল সীমাবদ্ধতার পরে, প্রতি ঘন্টায় মূত্র অসমোলালিটি এবং প্রতি দুই ঘন্টায় সিরাম অসমোলালিটি পরিমাপ করা হয়। পুনরাবৃত্ত ল্যাব মাপে দেখা যায় সিরামের অসমোলালিটি 280 mOsmol/kg এবং মূত্রের অসমোলালিটি 650 mOsmol/kg। নিম্নলিখিতগুলোর মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. সেরিব্রাল লবণ ক্ষতি
B. কেন্দ্রীয় ডায়াবেটিস ইনসিপিডাস
C. মূত্রনালী সংক্রমণ
D. অনুপযুক্ত এডিএইচ সিক্রিশনের সিন্ড্রোম
E. ডায়াবেটিস মেলিটাস
F. বিয়ার পোটোমিয়া
G. প্রাথমিক অতিরিক্ত তৃষ্ণা
H. নেফ্রোজেনিক ডায়াবেটিস ইনসিপিডাস",,,,,
R0006,"A 50-year-old man comes to the emergency department because of severe lower chest pain for the past hour. The pain radiates to the back and is associated with nausea. He has had two episodes of non-bloody vomiting since the pain started. He has a history of hypertension and type 2 diabetes mellitus. He has smoked one pack of cigarettes daily for 30 years. He drinks five to six beers per day. His medications include enalapril and metformin. His temperature is 38.5°C (101.3°F), pulse is 110/min, and blood pressure is 90/60 mm Hg. The lungs are clear to auscultation. Examination shows a distended abdomen with epigastric tenderness and guarding but no rebound; bowel sounds are decreased. Laboratory studies show:
Hemoglobin 14.5 g/dL
Leukocyte count 5,100/mm3
Platelet count 280,000/mm3
Serum
Na+ 133 mEq/L
K+ 3.5 mEq/L
Cl- 98 mEq/L
Total bilirubin 1.0 mg/dL
Amylase 160 U/L
Lipase 880 U/L (N = 14-280)
An ECG shows sinus tachycardia. Which of the following is the most likely diagnosis?""
A. Acute mesenteric ischemia
B. Boerhaave syndrome
C. Aortic dissection
D. Peptic ulcer disease
E. Pericarditis
F. Myocardial infarction
G. Acute pancreatitis","৫০ বছর বয়সী একজন পুরুষ জরুরি বিভাগে আসেন গত এক ঘন্টা থেকে তীব্র নিম্ন স্তনের ব্যথার জন্য। ব্যথা পিঠের দিকে ছড়িয়ে পড়ছে এবং বমিভাবের সঙ্গে যুক্ত। ব্যথা শুরু হওয়ার পর থেকে তিনি দু'বার রক্তবিহীন বমি করেছেন। তার উচ্চ রক্তচাপ ও টাইপ ২ ডায়াবেটিস মেলিটাসের ইতিহাস আছে। তিনি ৩০ বছর ধরে প্রতিদিন এক প্যাক সিগারেট ধূমপান করেন। দিনে পাঁচ-ছয়টি বিয়ার পান করেন। তার বর্তমান ঔষধে এনালাপ্রিল এবং মেটফরমিন রয়েছে। তাপমাত্রা ৩৮.৫°C, পালস ১১০/মিনিট, রক্তচাপ ৯০/৬০ mmHg। শ্বাসযন্ত্রের শব্দ স্বাভাবিক। পরীক্ষায় পেটে ফোলাভাব, এপিগ্যাস্ট্রিক সংবেদনশীলতা ও গার্ডিং দেখা যায় কিন্তু রিবাউন্ড নেই; অন্ত্রের শব্দ কমে আছে। ল্যাব ফলাফল:
হিমোগ্লোবিন ১৪.৫ g/dL
লিউকোসাইট সংখ্যা ৫১০০/mm3
প্লেটলেট সংখ্যা ২৮০,০০০/mm3
সিরাম
Na+ ১৩৩ mEq/L
K+ ৩.৫ mEq/L
Cl- ৯৮ mEq/L
মোট বিলিরুবিন ১.০ mg/dL
অ্যামাইলেজ ১৬০ U/L
লিপেজ ৮৮০ U/L (N = ১৪-২৮০)
ইসিজি তে সাইনাস ট্যাকিকার্ডিয়া দেখা যায়। নিম্নের কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. তীব্র মেসেন্টেরিক ইস্কেমিয়া
B. বুয়ারহাভ সিনড্রোম
C. অর্টিক ডিসেকশন
D. পেপটিক আলসার রোগ
E. পারিকার্ডাইটিস
F. মায়োকার্ডিয়াল ইনফার্কশন
G. তীব্র অগ্ন্যাশয় প্রদাহ",,,,,
R0007,"A 36-year-old woman with HIV comes to the physician because of a 3-day history of pain and watery discharge in her left eye. She also has blurry vision and noticed that she is more sensitive to light. Her right eye is asymptomatic. She had an episode of shingles 7 years ago. She was diagnosed with HIV 5 years ago. She admits that she takes her medication inconsistently. She wears contact lenses. Current medications include abacavir, lamivudine, efavirenz, and a nutritional supplement. Her temperature is 37°C (98.6°F), pulse is 89/min, and blood pressure is 110/70 mm Hg. Examination shows conjunctival injection of the left eye. Visual acuity is 20/20 in the right eye and 20/80 in the left eye. Extraocular movements are normal. Her CD4+ T-lymphocyte count is 90/mm3. A photograph of the left eye after fluorescein administration is shown. Which of the following is the most likely diagnosis?
A. Neurotrophic keratopathy
B. Pseudomonas keratitis
C. Herpes zoster keratitis
D. Fusarium keratitis
E. Herpes simplex keratitis
F. Acanthamoeba keratitis
""","একজন ৩৬ বছর বয়সী HIV আক্রান্ত নারী ডাক্তারের কাছে আসেন কারণ তার বাম চোখে ৩ দিনের ব্যথা ও জলীয় নিঃসরণ হয়েছে। তিনি ঝাপসা দৃষ্টিও অনুভব করছেন এবং আলোতে বেশি সংবেদনশীলতা লক্ষ্য করেছেন। তার ডান চোখে কোনো উপসর্গ নেই। তিনি ৭ বছর আগে শিংলস (হের্পেস জোস্টার) রোগে আক্রান্ত ছিলেন। ৫ বছর আগে তাকে HIV নির্ণয় করা হয়েছিল। তিনি স্বীকার করেন যে ওষুধগুলো অনিয়মিতভাবে নেন। তিনি কন্টাক্ট লেন্স ব্যবহার করেন। বর্তমান ওষুধগুলোর মধ্যে আছে এবাসাভির, ল্যামিভুডিন, ইফাভারেঞ্জ এবং একটি পুষ্টি সম্পূরক। তার তাপমাত্রা ৩৭°C (৯৮.৬°F), পালস ৮৯/মিনিট, রক্তচাপ ১১০/৭০ mm Hg। পরীক্ষায় বাম চোখের কনজাংটিভাল ইনজেকশন দেখা যায়। ভিজ্যুয়াল একিউটি ডান চোখে ২০/২০ এবং বামে ২০/৮০। অতিরিক্ত চোখের গতি স্বাভাবিক। তার CD4+ টি-লিম্ফোসাইট গণনা ৯০/mm3। ফ্লুরেসিন প্রয়োগের পর বাম চোখের একটি ছবি দেখানো হয়েছে। নিম্নলিখিতগুলোর মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. নিউরোট্রফিক কেরাটোপ্যাথি
B. পসুডোমোনাস কেরাটাইটিস
C. হার্পেস জোস্টার কেরাটাইটিস
D. ফুসারিয়াম কেরাটাইটিস
E. হার্পেস সিমপ্লেক্স কেরাটাইটিস
F. অ্যাক্যান্থামোইবা কেরাটাইটিস",,,,,
R0008,"A 72-year-old man is brought to the physician by his wife for forgetfulness, confusion, and mood changes for the past 4 months. His symptoms started with misplacing items such as his wallet and keys around the house. Two months ago, he became unable to manage their finances as it became too difficult for him. Last week, he became lost while returning home from the grocery store. His wife reports that he shows “no emotion” and that he is seemingly not concerned by his recent symptoms. He has hypertension, type 2 diabetes mellitus, and coronary artery disease. Current medications include aspirin, metoprolol, lisinopril, metformin, and rosuvastatin. His pulse is 56/min and blood pressure is 158/76 mm Hg. Neurologic examination shows loss of sensation on his right leg and an unsteady gait. When asked to stand with his eyes closed and palms facing upward, his right arm rotates inward. An MRI of the brain shows multiple deep white matter lesions. Which of the following is the most likely diagnosis?
A. Vascular dementia
B. Frontotemporal dementia
C. Alzheimer disease
D. Major depressive disorder
E. Lewy body dementia
F. Hypothyroidism
G. Vitamin B12 deficiency","একজন ৭২ বছর বয়সী পুরুষকে তার স্ত্রী ডাক্তারের কাছে নিয়ে এসেছে, যিনি গত ৪ মাস ধরে স্মৃতিভ্রংশ, বিভ্রান্তি এবং মেজাজের পরিবর্তন দেখাচ্ছেন। তাঁর লক্ষণগুলি শুরু হয় বাড়িতে ওয়ালেট ও চাবির মতো জিনিসগুলো ভুলে রাখার মাধ্যমে। দুই মাস আগে তিনি আর্থিক বিষয়গুলো পরিচালনা করতে অক্ষম হয়ে পড়েন কারণ এটি তার জন্য খুব কঠিন হয়ে গিয়েছিল। গত সপ্তাহে, মুদি দোকান থেকে বাড়ি ফেরার পথে তিনি পথ হারিয়ে ফেলেছিলেন। তাঁর স্ত্রী জানান যে তিনি “কোনো অনুভূতি প্রকাশ করছেন না” এবং সাম্প্রতিক লক্ষণগুলো নিয়ে তিনি কোনো উদ্বেগ দেখাচ্ছেন না। তার উচ্চ রক্তচাপ, টাইপ ২ ডায়াবেটিস মেলিটাস ও করোনারি আর্টেরি ডিজিজ রয়েছে। বর্তমান ঔষধগুলোর মধ্যে আছে অ্যাসপিরিন, মেটোপ্রোলল, লিসিনোপ্রিল, মেটফরমিন এবং রোসুভাস্টাটিন। তার পালস ৫৬/মিনিট এবং রক্তচাপ ১৫৮/৭৬ mm Hg। স্নায়ু পরীক্ষা দেখায় ডান পায়ে সংবেদনশীলতার হ্রাস ও অস্থির গতি। যখন তাকে চোখ বন্ধ করে, তালু উপরের দিকে রেখে দাঁড়াতে বলা হয়, তার ডান বাহু ভিতরের দিকে ঘুরে যায়। মস্তিষ্কের MRI তে একাধিক গভীর সাদা পদার্থের ক্ষত দেখা যায়। নিম্নলিখিতগুলোর মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. ভাস্কুলার ডিমেনশিয়া
B. ফ্রন্টোটেম্পোরাল ডিমেনশিয়া
C. অ্যালঝেইমার রোগ
D. মেজর ডিপ্রেসিভ ডিসঅর্ডার
E. লুই বডি ডিমেনশিয়া
F. হাইপোথাইরয়েডিজম
G. ভিটামিন বি১২ ঘাটতি",,,,,
R0009,"A 5-year-old African-American boy is brought to the physician because of fatigue and night sweats for the past month. During this time, he has also lost 3 kg (6.6 lbs). Before the onset of symptoms, he had been healthy except for a febrile seizure as an infant. His brother had chickenpox 2 months ago. He is at the 75th percentile for height and 50th percentile for weight. He appears markedly fatigued. His temperature is 38°C (100.4°F), pulse is 95/min, respirations are 19/min, and blood pressure is 100/60 mm Hg. Lung and cardiac examination is normal. There are enlarged, nontender lymph nodes bilaterally in the neck. The abdomen is soft and nontender. A complete blood count shows:
Leukocyte count 8,000/mm3
Hemoglobin 9.1 g/dL
Hematocrit 26.9%
Platelet count 34,000/mm3
Serum
Na+ 135 mEq/L
K+ 4.5 mEq/L
Cl- 101 mEq/L
HCO3- 27 mEq/L
Urea nitrogen 9 g/dL
Creatinine 0.7 g/dL
Ca2+ 8.8 mg/dL
PCR testing demonstrates a 9:22 chromosomal translocation. Which of the following is the most appropriate pharmacotherapy?""
A. Hydroxyurea
B. All-trans retinoic acid
C. Lenalidomide
D. Transfuse platelets
E. Cladribine
F. Imatinib
G. Transfuse packed red blood cells","একটি ৫ বছর বয়সী আফ্রিকান-আমেরিকান ছেলে ক্লান্তি ও রাতের ঘাম নিয়ে এক মাস ধরে ডাক্তারের কাছে আনা হয়েছে। এই সময়ে সে প্রায় ৩ কেজি (৬.৬ পাউন্ড) ওজন কমিয়েছে। লক্ষণ শুরু হওয়ার আগে, শৈশবে একটি জ্বরজনিত সিজার ছাড়া তার কোনো রোগ ছিল না। তার ভাই দুই মাস আগে চিকেনপক্সে আক্রান্ত হয়েছিল। উচ্চতা ৭৫তম পার্সেন্টাইলে এবং ওজন ৫০তম পার্সেন্টাইলে রয়েছে। সে স্পষ্টভাবে ক্লান্ত দেখাচ্ছে। তাপমাত্রা ৩৮°C (১০০.৪°F), পালস ৯৫/মিনিট, শ্বাসপ্রশ্বাস ১৯/মিনিট, রক্তচাপ ১০০/৬০ mm Hg। ফুসফুস ও হৃদযন্ত্রের পরীক্ষা স্বাভাবিক। গলায় উভয় পাশে বড়, অ-সংবেদনশীল লিম্ফ নোড রয়েছে। পেট নরম এবং অ-সংবেদনশীল। সম্পূর্ণ রক্ত গণনা দেখায়:
লিউকোসাইট সংখ্যা ৮,০০০/mm3
হেমোগ্লোবিন ৯.১ g/dL
হেমাটোক্রিট ২৬.৯%
প্লেটলেট সংখ্যা ৩৪,০০০/mm3
সিরাম
Na+ ১৩৫ mEq/L
K+ ৪.৫ mEq/L
Cl- ১০১ mEq/L
HCO3- ২৭ mEq/L
ইউরিয়া নাইট্রোজেন ৯ g/dL
ক্রিয়াটিনিন ০.৭ g/dL
Ca2+ ৮.৮ mg/dL
PCR পরীক্ষায় ৯:২২ ক্রোমোসোমাল ট্রান্সলোকেশন দেখা গেছে। নিম্নলিখিতগুলির মধ্যে কোনটি সবচেয়ে উপযুক্ত ফার্মাকোথেরাপি?
A. হাইড্রোক্সিউরিয়া
B. অল-ট্রান্স রেটিনয়িক অ্যাসিড
C. লেনালিডোমাইড
D. প্লেটলেট ট্রান্সফিউশন
E. ক্লাড্রিবিন
F. ইমাটিনিব
G. প্যাকড লাল রক্তকণিকা ট্রান্সফিউশন",,,,,
R0010,"A 4670-g (10-lb 5-oz) male newborn is delivered at term to a 26-year-old woman after prolonged labor. Apgar scores are 9 and 9 at 1 and 5 minutes. Examination in the delivery room shows swelling, tenderness, and crepitus over the left clavicle. There is decreased movement of the left upper extremity. Movement of the hands and wrists are normal. A grasping reflex is normal in both hands. An asymmetric Moro reflex is present. The remainder of the examination shows no abnormalities and an anteroposterior x-ray confirms the diagnosis. Which of the following is the most appropriate next step in management?
A. Nerve conduction study
B. Surgical fixation
C. Physical therapy
D. Pin sleeve to the shirt
E. Splinting of the arm
F. MRI of the clavicle","একটি ৪৬৭০ গ্রাম (১০ পাউন্ড ৫ আউন্স) ওজনের পুরুষ নবজাতককে দীর্ঘ সময়ের প্রসবের পর ২৬ বছর বয়সী এক মহিলার গর্ভধারণে পূর্ণমেয়াদে জন্ম দেওয়া হয়। অ্যাপগার স্কোর ১ এবং ৫ মিনিটে উভয়ই ৯। ডেলিভারি রুমে পরীক্ষায় বাম ক্ল্যাভিকল এলাকায় ফোলাভাব, সংবেদনশীলতা ও ক্রেপিটাস দেখা যায়। বাম উপরের অঙ্গের গতিবিধি কমে গেছে। হাত ও কব্জির গতি স্বাভাবিক। উভয় হাতে গ্রাস প্রতিফলন স্বাভাবিক। একটি অসমমিত মোরো রিফ্লেক্স উপস্থিত। পরীক্ষার বাকী অংশে কোনো অসাধারণতা নেই এবং এন্টেরোপোস্টেরিয়র এক্স-রে নির্ণয় নিশ্চিত করে। নিম্নলিখিতগুলির মধ্যে ব্যবস্থাপনার সর্বাধিক উপযুক্ত পরবর্তী ধাপ কোনটি?
A. স্নায়ু পরিবাহিতা পরীক্ষা
B. শল্যচিকিৎসা দ্বারা স্থিতিশীলকরণ
C. শারীরিক থেরাপি
D. পিন স্লিভটি শার্টে যুক্ত করা
E. হাতের স্প্লিন্টিং
F. ক্ল্যাভিকলের এমআরআই",,,,,
