row_id,src_en,hyp_bn,tier,fluency,acceptable,tags,note
A0001,"A 17-year-old girl comes to the physician for a scheduled colonoscopy. She was diagnosed with familial adenomatous polyposis at the age of 13 years. Last year, her flexible sigmoidoscopy showed 12 adenomatous polyps (< 6 mm) that were removed endoscopically. Her father and her paternal grandmother were diagnosed with colon cancer at the age of 37 and 39 years, respectively. The patient appears nervous but otherwise well. Her vital signs are within normal limits. Examination shows no abnormalities. A complete blood count and serum concentrations of electrolytes, urea nitrogen, and creatinine are within the reference range. A colonoscopy shows hundreds of diffuse 4-9 mm adenomatous polyps covering the colon and > 30 rectal adenomas. Which of the following is the most appropriate next step in management?
A. Repeat colonoscopy in 6 months
B. Endoscopic biopsy of polyps
C. Sulindac therapy
D. Proctocolectomy with ileoanal anastomosis
E. Folinic acid (leucovorin) + 5-Fluorouracil + oxaliplatin therapy
F. CT scan of the abdomen with contrast","একজন ১৭ বছর বয়সী মেয়ে নির্ধারিত কোলোনোস্কোপির জন্য ডাক্তারের কাছে আসে। তাকে ১৩ বছর বয়সে পারিবারিক অ্যাডেনোমাটাস পলিপোসিস রোগ নির্ণয় করা হয়েছিল। গত বছরে তার ফ্লেক্সিবল সিগময়েডোস্কপি দেখায় ১২টি অ্যাডেনোমাটাস পলি (৬ মিমি এর কম) যা এন্ডোস্কোপিকভাবে অপসারণ করা হয়েছে। তার বাবা ও পিতৃদাদী যথাক্রমে ৩৭ এবং ৩৯ বছর বয়সে কোলন ক্যান্সার রোগে আক্রান্ত হয়েছিলেন। রোগীটি নার্ভাস দেখাচ্ছে তবে অন্যথায় স্বাস্থ‍্যবান। তার গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে রয়েছে। শারীরিক পরীক্ষায় কোনো অস্বাভাবিকতা পাওয়া যায়নি। সম্পূর্ণ রক্ত গণনা এবং ইলেক্ট্রোলাইট, ইউরিয়া নাইট্রোজেন ও ক্রিয়াটিনিনের সেরাম ঘনত্ব রেফারেন্স রেঞ্জের মধ্যে আছে। কোলোনোস্কপি দেখায় শত শত বিস্তৃত ৪-৯ মিমি অ্যাডেনোমাটাস পলি যা পুরো কোলনকে আচ্ছাদিত করেছে এবং >৩০টি রেকটাল অ্যাডেনোমা রয়েছে। নিম্নলিখিত কোনটি সর্বাধিক উপযুক্ত পরবর্তী ব্যবস্থাপনা পদক্ষেপ?
A. ৬ মাসে পুনরায় কোলোনোস্কপি করা
B. পলিপের এন্ডোস্কোপিক বায়োপসি করা
C. সুলিনড্যাক থেরাপি
D. ইলিওআ্যানাল অ্যানাস্টোমাসহ প্রোক্টোকোলেকটমি
E. ফোলিনিক অ্যাসিড (লিউকোভারিন) + ৫-ফ্লুরোরেসিল + অক্সালিপ্লাটিন থেরাপি
F. কনট্রাস্ট সহ পেটের সিটি স্ক্যান",,,,,
A0002,"A 6-day-old female newborn is brought to the physician because of yellowish discoloration of her eyes and body, vomiting, and poor feeding for 3 days. She has had diarrhea for the past 2 days. She was born at 38 weeks' gestation and the antenatal period was uncomplicated. She appears lethargic. Vital signs are within normal limits. Examination shows jaundice of the skin and conjunctivae. Bilateral cataracts are present. The abdomen is soft and nontender. The liver is palpated 4-cm below the right costal margin; there is no splenomegaly. Muscle tone is decreased in all extremities. Serum glucose concentration is 37 mg/dL. Which of the following is the most appropriate recommendation to prevent long-term complications of this illness?
A. Phototherapy
B. Frequent glucose feeds
C. Stop milk feeds
D. Thiamine therapy
E. Levothyroxine therapy","একটি ৬ দিনের মেয়ে নবজাতককে চোখ ও দেহের হলদে রঙ, বমি এবং ৩ দিন ধরে খারাপ খাবার গ্রহণের জন্য ডাক্তারের কাছে আনা হয়েছে। গত ২ দিনে তার ডায়রিয়া হয়েছে। সে ৩৮ সপ্তাহ গর্ভধারণে জন্মগ্রহণ করেছে এবং গর্ভাবস্থার সময় কোনো জটিলতা ছিল না। শিশুটি অলস দেখাচ্ছে। গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে আছে। পরীক্ষায় ত্বক ও কনজাংটিভা-তে পিত্তবর্ণ দেখা যায়। দ্বিপাক্ষিক ক্যাটার্যাক্ট উপস্থিত রয়েছে। পেট নরম এবং অস্বস্তি নেই। ডান দেহের নিচে ৪ সেমি দূরে যকৃত স্পর্শ করা যায়; কোনো প্লীহা বৃদ্ধি নেই। সব অঙ্গপ্রত্যঙ্গে পেশীর টোন কমেছে। সিরাম গ্লুকোজ ঘনত্ব ৩৭ mg/dL। নিম্নলিখিত কোনটি এই রোগের দীর্ঘমেয়াদী জটিলতা প্রতিরোধে সবচেয়ে উপযুক্ত সুপারিশ?
A. ফোটোথেরাপি
B. বারংবার গ্লুকোজ সমৃদ্ধ খাবার প্রদান
C. দুগ্ধজাত খাবার বন্ধ করা
D. থায়ামিন থেরাপি
E. লেভোথাইরক্সিন থেরাপি",,,,,
A0003,"A 27-year-old woman, gravida 2, para 1, at 40 weeks' gestation is admitted to the hospital in active labor. The patient reports severe pelvic pain. Pregnancy has been complicated by gestational diabetes. Pregnancy and delivery of her first child were uncomplicated. Current medications include insulin, folic acid, and a multivitamin. Vital signs are within normal limits. The cervix is 100% effaced and 10 cm dilated; the vertex is at -1 station. The fetal heart rate is reactive with no decelerations. Epidural anesthesia is performed and the patient's symptoms improve. Ten minutes later, the patient has dizziness. Her pulse is 68/min, respirations are 16/min, and blood pressure is 90/60 mm Hg. Intravenous fluid resuscitation is begun. Which of the following is the most likely underlying cause of the patient's hypotension?
A. Decreased cardiac contractility
B. Sympathetic block
C. Hypovolemia
D. Acute pulmonary hypertension
E. Aortocaval compression","একজন ২৭ বছর বয়সী নারী, gravida 2, para 1, গর্ভধারণের ৪০ সপ্তাহে সক্রিয় শ্রমে হাসপাতালে ভর্তি হয়। রোগী তীব্র পেলভিক ব্যথা রিপোর্ট করেন। গর্ভাবস্থায় গেস্টেশনাল ডায়াবেটিস ছিল। প্রথম সন্তানের গর্ভাবস্থা ও প্রসব কোনো জটিলতা ছাড়াই হয়েছে। বর্তমান ঔষধের মধ্যে রয়েছে ইনসুলিন, ফোলিক অ্যাসিড এবং মাল্টিভিটামিন। গুরুত্বপূর্ণ চিহ্নগুলি স্বাভাবিক সীমার মধ্যে। সার্ভিক্স ১০০ % ইফেসড এবং ১০ সেমি ডাইলেটেড; ভেক্সটেক্স -১ স্টেশনে আছে। ভ্রূণ হৃদস্পন্দন রিএক্টিভ এবং কোনো ডিকেলারেশন নেই। এপিডিউরাল অ্যানাস্থেসিয়া দেওয়া হয় এবং রোগীর উপসর্গগুলো উন্নত হয়। দশ মিনিট পরে, রোগী মাথা ঘোরানো অনুভব করে। তার পালস ৬৮/মিনিট, শ্বাসপ্রশ্বাস ১৬/মিনিট, রক্তচাপ ৯০/৬০ mm Hg। ইনট্রাভেনাস ফ্লুইড রিসাসিটেশন শুরু করা হয়। নিম্নলিখিত কোনটি রোগীর হাইপোটেনশন এর সবচেয়ে সম্ভাব্য অন্তর্নিহিত কারণ?
A. হৃদযন্ত্রের সংকোচনশক্তি কমে যাওয়া
B. সিম্প্যাথেটিক ব্লক
C. রক্তপরিমাণ হ্রাস (হাইপোভোলেমিয়া)
D. তীব্র পালমোনারি হাইপারটেনশন
E. অর্টো-ক্যাভার সংকোচন",,,,,
A0004,"A 17-year-old boy is brought to the physician because of progressive right knee pain for the past 3 months. He reports that the pain is worse at night and while doing sports at school. He has not had any trauma to the knee or any previous problems with his joints. His vital signs are within normal limits. Examination of the right knee shows mild swelling and tenderness without warmth or erythema; the range of motion is limited. He walks with an antalgic gait. Laboratory studies show an alkaline phosphatase of 180 U/L and an erythrocyte sedimentation rate of 80 mm/h. An x-ray of the right knee is shown. Which of the following is the most likely diagnosis?
A. Osteoclastoma
B. Ewing sarcoma
C. Chordoma
D. Osteochondroma
E. Chondrosarcoma
F. Osteosarcoma
""","১৭ বছর বয়সী একটি ছেলে গত তিন মাস ধরে ধীরে ধীরে বাড়তে থাকা ডান হাঁটুর ব্যথায় চিকিৎসকের কাছে আনা হয়েছে। তিনি জানান যে রাতে এবং স্কুলে খেলাধুলা করার সময় ব্যথা বেশি হয়। হাঁটুতে কোনো আঘাত বা পূর্বের কোনও জয়েন্ট সমস্যার ইতিহাস নেই। তার গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে রয়েছে। ডান হাঁটুর পরীক্ষা করলে হালকা ফোলাভাব ও সংবেদনশীলতা দেখা যায়, তবে গরমত্ব বা লালচে ভাব নেই; গতিবিধি সীমিত। তিনি অ্যান্টালজিক গেইটে চলেন। পরীক্ষামূলক রক্তের ফলাফল দেখায় আলকালাইন ফসফাটেজ ১৮০ ইউ/লি এবং ইরিথ্রোসাইট সেডিমেন্টেশন রেট ৮০ মিমি/ঘণ্টা। ডান হাঁটুর এক্স-রে নিচে দেওয়া হয়েছে। নিম্নলিখিতগুলির মধ্যে কোনটি সবচেয়ে সম্ভাব্য নির্ণয়?
A. অস্টিওক্লাস্টোমা
B. ইউইং সারকোমা
C. কর্ডোমা
D. অস্টিওকন্ড্রোমা
E. কন্ড্রোসারকোমা
F. অস্টিওসারকোমা",,,,,
A0005,"A 3-week-old boy is brought to the emergency department by his parents because of a 3-day history of progressive lethargy and difficulty feeding. He was born at term and did not have difficulty feeding previously. His temperature is 39.4°C (103°F), pulse is 220/min, respirations are 45/min, and blood pressure is 50/30 mm Hg. Pulse oximetry on 100% oxygen shows an oxygen saturation of 97%. Examination shows dry mucous membranes, delayed capillary refill time, and cool skin with poor turgor. Despite multiple attempts by the nursing staff, they are unable to establish peripheral intravenous access. Which of the following is the most appropriate next step in management?
A. Rapid sequence intubation
B. Intramuscular epinephrine
C. Femoral vein cannulation
D. Internal jugular vein cannulation
E. Intraosseous cannulation
F. Ultrasound-guided antecubital vein cannulation
G. Umbilical vein cannulation","একজন ৩-সপ্তাহ বয়সী ছেলে তার বাবা-মায়ের মাধ্যমে জরুরি বিভাগে আনা হয়েছে, কারণ তিন দিনের ক্রমবর্ধমান অলসতা এবং খাবার গ্রহণে অসুবিধা রয়েছে। তিনি পূর্ণ গর্ভধারণে জন্মেছেন এবং পূর্বে খাবার গ্রহণে কোনো সমস্যা ছিল না। তাঁর তাপমাত্রা ৩৯.৪°C (১০৩°F), পাল্স ২২০/মিনিট, শ্বাসপ্রশ্বাস ৪৫/মিনিট, রক্তচাপ ৫০/৩০ mm Hg। ১০০% অক্সিজেনে পলস-অক্সিমেট্রি দেখায় অক্সিজেন স্যাচুরেশন ৯৭%。 পরীক্ষা করে দেখা যায় মুখের ঝিল্লি শুষ্ক, ক্যাপিলারি রিফিল সময় বিলম্বিত এবং ত্বক ঠাণ্ডা ও টার্গর কম। নার্সিং স্টাফের বহু প্রচেষ্টা সত্ত্বেও পার্শ্বীয় শিরায় ইনট্রাভেনাস প্রবেশ করা সম্ভব হচ্ছে না। নিম্নলিখিতগুলোর মধ্যে ব্যবস্থাপনার সর্বোত্তম পরবর্তী পদক্ষেপ কোনটি?
A. দ্রুত ক্রমানুসারী ইন্টিউবেশন
B. ইনট্রমাসকুলার এপিনেফ্রিন
C. ফিমোরাল শিরা ক্যাথেটার স্থাপন
D. অভ্যন্তরীণ জাগুলার শিরা ক্যাথেটার স্থাপন
E. ইন্ট্রাওসিয়াস ক্যাথেটার স্থাপন
F. আল্ট্রাসাউন্ড-নির্দেশিত অ্যান্টেকিউবিটাল শিরা ক্যাথেটার স্থাপন
G. নাভি শিরা ক্যাথেটার স্থাপন",,,,,
A0006,"A 21-year-old woman comes to the physician for the evaluation of dry cough and some chest tightness for the past several weeks. The cough is worse at night and while playing volleyball. She frequently has a runny nose and nasal congestion. Her mother has systemic lupus erythematosus. The patient has smoked one pack of cigarettes daily for the last 5 years. She does not drink alcohol. Her only medication is cetirizine. Her vital signs are within normal limits. Pulse oximetry on room air shows an oxygen saturation of 98%. The remainder of the examination shows no abnormalities. Which of the following is the most appropriate next step in management?
A. Spirometry
B. Blood gas analysis
C. Chest x-ray
D. Methacholine challenge test
E. CT scan of the chest
F. Laboratory studies","একজন ২১ বছর বয়সী নারী কয়েক সপ্তাহ ধরে শুষ্ক কাশি এবং কিছুটা বুকের টান অনুভব করে ডাক্তারের কাছে আসেন। রাতে ও ভলিবল খেলতে গিয়ে কাশি বাড়ে। তিনি প্রায়ই নাক দিয়ে পানি বের হয় এবং নাসারন্ধ্র বন্ধ থাকে। তার মা সিস্টেমিক লুপাস ইরিথিমাটোসাস রোগে আক্রান্ত। রোগী গত ৫ বছর ধরে প্রতিদিন এক প্যাকেট সিগারেট ধূমপান করছেন। তিনি অ্যালকোহল পান করেন না। তার একমাত্র ওষুধ হল সিটিরিজিন। তার গুরুত্বপূর্ণ চিহ্নগুলো স্বাভাবিক সীমার মধ্যে রয়েছে। রুম এয়ারে পালস অক্সিমেট্রি দেখায় ৯৮% অক্সিজেন স্যাচুরেশন। পরীক্ষার বাকি অংশে কোনো অস্বাভাবিকতা দেখা যায় না। নিম্নলিখিতগুলির মধ্যে কোনটি ব্যবস্থাপনার সর্বোত্তম পরবর্তী ধাপ?
A. স্পাইরোমেট্রি
B. রক্ত গ্যাস বিশ্লেষণ
C. চেস্ট এক্স-রে
D. মেথাকোলিন চ্যালেঞ্জ টেস্ট
E. বুকের সিটি স্ক্যান
F. ল্যাবরেটরি পরীক্ষাসমূহ",,,,,
A0007,"A 60-year-old man comes to the physician for a routine health maintenance examination. He feels well. Five years ago, he underwent a colonoscopy, which was unremarkable. He has no history of serious illness except for an episode of poststreptococcal glomerulonephritis at the age of 10 years. His father died of bladder carcinoma at the age of 55 years. The patient works at a rubber factory. He has smoked one pack of cigarettes daily for the past 25 years. He drinks 1-2 cans of beer per day. He takes no medications. He has never received any pneumococcal vaccination. His temperature is 37°C (98.6°F), pulse is 70/min, and blood pressure is 120/80 mm Hg. Digital rectal examination shows mild symmetrical enlargement of the prostate with no masses. Which of the following is the most appropriate next step in management?
A. Perform prostate biopsy
B. Obtain urine sample for cytology
C. Recommend colonoscopy
D. Discuss PSA assessment with patient
E. Obtain low-dose CT scan of the chest
F. Administer pneumococcal conjugate vaccination
G. Perform cystoscopy
H. Obtain CT urography
I. Obtain renal ultrasound","একজন ৬০ বছর বয়সী পুরুষ রুটিন স্বাস্থ্য রক্ষণাবেক্ষণ পরীক্ষার জন্য ডাক্তারের কাছে আসেন। তিনি ভালই অনুভব করছেন। পাঁচ বছর আগে, তিনি একটি কলোনোস্কপি করিয়েছিলেন, যা কোনো অস্বাভাবিকতা দেখায়নি। তার গুরুতর রোগের ইতিহাস নেই, শুধুমাত্র ১০ বছর বয়সে পোস্ট-স্ট্রেপটোকক্যাল গ্লোমেরুলোনেফ্রাইটিসের একবারের ঘটনা ছিল। তার পিতার বয়স ৫৫ এ মূত্রাশয়ের কার্সিনোমা থেকে মৃত্যু হয়েছিল। রোগী রাবার ফ্যাক্টরিতে কাজ করেন। তিনি গত ২৫ বছর ধরে প্রতিদিন একটি প্যাকেট সিগারেট ধূমপান করছেন। তিনি দিনে ১-২ ক্যান বিয়ার পান করেন। তিনি কোনো ওষুধ নেন না। তিনি কখনো কোন নিউমোকোকাল টিকাদান পাননি। তার তাপমাত্রা ৩৭°C (৯৮.৬°F), পালস ৭০/মিনিট, এবং রক্তচাপ ১২০/৮০ mm Hg। ডিজিটাল রেক্টাল পরীক্ষায় প্রস্টেটের হালকা সমমিতি বৃদ্ধি দেখা যায় কোনো গাঁট ছাড়া। নিম্নলিখিত কোনটি সর্বোত্তম পরবর্তী ব্যবস্থাপনা পদক্ষেপ হবে?
A. প্রস্টেট বায়োপসি করুন
B. সাইটোলজি জন্য মূত্রের নমুনা সংগ্রহ করুন
C. কলোনোস্কপি করার সুপারিশ করুন
D. রোগীর সঙ্গে PSA মূল্যায়ন নিয়ে আলোচনা করুন
E. বুকের নিম্ন-ডোজ CT স্ক্যান নিন
F. নিউমোকোকাল কনজুগেট টিকাদান দিন
G. সিস্টোস্কপি সম্পন্ন করুন
H. CT ইউরোগ্রাফি সংগ্রহ করুন
I. কিডনি আল্ট্রাসাউন্ড করুন",,,,,
A0008,"A 25-year-old woman, gravida 2, para 1, is brought to the emergency department at 39 weeks' gestation in active labor. Her first child was delivered at 40 weeks' gestation by elective cesarean section due to limited range of motion in her hip. The patient has sickle cell disease. She has had multiple episodes of acute chest syndrome and has required several transfusions in the past. An uncomplicated repeat cesarean section is performed, and a 2.7-kg (6-lb) infant is delivered with approx. 550 mL blood loss. Perioperatively, she received one dose of intravenous cefazolin. Following the surgery, the patient continues to bleed, and she receives a transfusion of 1 unit of packed red blood cells. One hour later, the patient begins to have flank pain and appears to be in acute distress. Her temperature is 38.5°C (101.3°F), pulse is 111/min, respirations are 22/min, and blood pressure is 99/50 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. Foley catheter shows dark brown urine. Further evaluation of this patient is most likely to show which of the following?
A. Serum antibodies against Class I HLA antigens
B. Low levels of serum IgA immunoglobulins
C. Positive blood cultures
D. Positive direct Coombs test
E. Bilateral pulmonary infiltrates on chest x-ray","২৫ বছর বয়সী এক নারী, গর্ভধারণ ২, সন্তান ১, সক্রিয় শ্রমে ৩৯ সপ্তাহের গর্ভাবস্থায় জরুরি বিভাগে আনা হয়। তার প্রথম সন্তানের জন্ম ৪০ সপ্তাহে নির্বাচনী সিজারিয়ান সেকশনের মাধ্যমে হয়েছে কারণ হিপের গতিসীমা সীমিত ছিল। রোগীর সিকল সেল রোগ রয়েছে এবং তিনি অতীতে একাধিকবার তীব্র চেস্ট সিনড্রোমে আক্রান্ত হয়ে রক্তদান করেছেন। একটি জটিলতা মুক্ত পুনরাবৃত্তি সিজারিয়ান সেকশন করা হয়, এবং প্রায় ৫৫০ মিলি লিটার রক্তক্ষয়সহ ২.৭ কেজি (৬ পাউন্ড) ওজনের শিশুটি জন্ম নেয়। পারিওপারেটিভ সময়ে তিনি এক ডোজ ইনট্রাভেনাস সেফাজোলিন গ্রহণ করেন। শল্যচিকিৎসার পর রোগী রক্তপাত চালিয়ে যান এবং তাকে ১ ইউনিট প্যাকড লাল রক্তকণিকা ট্রান্সফিউশন দেওয়া হয়। এক ঘন্টা পরে, রোগীর পাশে ব্যথা শুরু হয় এবং তিনি তীব্র অস্বস্তিতে দেখা যায়। তার তাপমাত্রা ৩৮.৫°C (১০১.৩°F), পালস ১১১/মিনিট, শ্বাসপ্রশ্বাস ২২/মিনিট, রক্তচাপ ৯৯/৫০ mm Hg। কক্ষের বাতাসে পল্স অক্সিমেট্রি দেখায় অক্সিজেন স্যাচুরেশন ৯৭%। ফোলি ক্যাথেটার থেকে গাঢ় বাদামী প্রস্রাব বের হয়। এই রোগীর আরও মূল্যায়নে নিম্নলিখিত কোনটি সবচেয়ে সম্ভাবনা দেখা যাবে?
A. ক্লাস I HLA অ্যান্টিজেনের বিরুদ্ধে সিরাম অ্যান্টিবডি
B. সিরামের IgA ইমিউনোগ্লোবুলিনের কম মাত্রা
C. রক্ত সংস্কৃতিতে পজিটিভ ফলাফল
D. ডাইরেক্ট কোম্বস টেস্টে পজিটিভ ফলাফল
E. চেস্ট এক্স-রে তে দ্বিপাক্ষিক ফুসফুসীয় ইনফিলট্রেটস",,,,,
A0009,"A 67-year-old man comes to the emergency department for the evaluation of two episodes of red urine since this morning. He has no pain with urination. He reports lower back pain and fever. Six months ago, he was diagnosed with osteoarthritis of the right knee that he manages with 1-2 tablets of ibuprofen per day. He has smoked one pack of cigarettes daily for the past 45 years. He does not drink alcohol. His temperature is 38.5°C (101.3°F), pulse is 95/min, and blood pressure is 130/80 mm Hg. Physical examination shows faint, diffuse maculopapular rash, and bilateral flank pain. The remainder of the examination shows no abnormalities. Urinalysis shows:
Blood +3
Protein +1
RBC 10-12/hpf
RBC cast negative
Eosinophils numerous
Which of the following is the most likely diagnosis?""
A. Acute tubulointerstitial nephritis
B. Acute pyelonephritis
C. Acute glomerulonephritis
D. Crystal-induced acute kidney injury
E. Renal cell carcinoma
F. Henoch-Schönlein purpura
G. Acute tubular necrosis","৬৭ বছর বয়সী একজন পুরুষ আজ সকালে থেকে দুইবার লাল প্রস্রাবের ঘটনা নিয়ে জরুরি বিভাগে আসেন। মূত্রত্যাগে কোনো ব্যথা নেই। তিনি নিম্ন পিঠে ব্যথা ও জ্বরের অভিযোগ করেন। ছয় মাস আগে ডান হাঁটুর অস্টিওআর্থ্রাইটিস নির্ণয় হয় এবং তিনি দিনে ১-২ ট্যাবলেট ইবুপ্রোফেন গ্রহণ করে থাকেন। গত ৪৫ বছর ধরে প্রতিদিন এক প্যাকেট সিগারেট ধূমপান করেন। মদ পান করেন না। তার তাপমাত্রা ৩৮.৫°C, পালস ৯৫/মিনিট এবং রক্তচাপ ১৩০/৮০ mm Hg। শারীরিক পরীক্ষায় হালকা, বিস্তৃত ম্যাকুলোপ্যাপুলার দাগ ও দু'পাশের ফ্ল্যাঙ্কে ব্যথা দেখা যায়। বাকি পরীক্ষা স্বাভাবিক। মূত্র বিশ্লেষণে দেখা যায়:
রক্ত +৩
প্রোটিন +১
RBC ১০-১২/hpf
RBC ক্যাস্ট নেগেটিভ
ইওসিনোফিল প্রচুর পরিমাণে
নিম্নলিখিত কোনটি সবচেয়ে সম্ভাব্য রোগ নির্ণয়?
A. তীব্র টিউবুলোইন্টারস্টিশিয়াল নেফ্রাইটিস
B. তীব্র পাইলোনেফ্রাইটিস
C. তীব্র গ্লোমেরুলোনেফ্রাইটিস
D. স্ফটিক-প্রণোদিত তীব্র কিডনি আঘাত
E. কিডনি কোষের কার্সিনোਮਾ
F. হেনচ-শোনলাইন পিউর্পুরা
G. তীব্র টিউবুলার নেক্রোসিস",,,,,
A0010,"A 57-year-old post-menopausal woman comes to the physician because of intermittent, bloody post-coital vaginal discharge for the past month. She does not have pain with intercourse. Eleven years ago, she had LSIL on a routine Pap smear and testing for high-risk HPV strains was positive. Colposcopy showed CIN 1. She has not returned for follow-up Pap smears since then. She is sexually active with her husband only, and they do not use condoms. She has smoked half a pack of cigarettes per day for the past 25 years and does not drink alcohol. On speculum exam, a 1.4 cm, erythematous exophytic mass with ulceration is noted on the posterior wall of the upper third of the vagina. Which of the following is the most probable histopathology of this mass?
A. Squamous cell carcinoma
B. Basal cell carcinoma
C. Melanoma
D. Sarcoma botryoides
E. Adenocarcinoma","একজন ৫৭ বছর বয়সী পোস্ট-মেনোপজাল নারী গত এক মাস ধরে মাঝে মাঝে রক্তাক্ত যৌনমিলনের পর যোনি নিঃসরণে আসার জন্য ডাক্তারের কাছে এসেছেন। তার যৌনমিলনে ব্যথা নেই। এগারো বছর আগে, তিনি রুটিন প্যাপ স্মিয়ারে LSIL পেয়েছিলেন এবং উচ্চ-ঝুঁকির HPV স্ট্রেইনের টেস্ট পজিটিভ ছিল। কোল্পোস্কোপিতে CIN 1 দেখা গিয়েছিল। এরপর থেকে তিনি ফলো-আপ প্যাপ স্মেয়ার নিতে ফিরে আসেননি। তিনি শুধুমাত্র স্বামীর সঙ্গে যৌন সক্রিয় এবং কোনো কন্ডোম ব্যবহার করেন না। গত ২৫ বছর ধরে তিনি দিনে অর্ধেক প্যাক সিগারেট ধূমপান করছেন এবং মদ পান করেন না। স্পেকুলাম পরীক্ষায়, যোনির উপরের তৃতীয়াংশের পশ্চাৎভাগে ১.৪ সেমি লালচে এক্সোফাইটিক টিউমার আলসারসহ দেখা যায়। নিম্নলিখিতগুলোর মধ্যে কোনটি এই গাঁটের সবচেয়ে সম্ভাব্য হিস্টোপ্যাথোলজি?
A. স্কোয়ামাস সেল কার্সিনোমা
B. বেসাল সেল কার্সিনোমা
C. মেলানোমা
D. সারকোমা বোট্রিওইডেস
E. অ্যাডেনোকার্সিনোমা",,,,,
